timestamp,cpu_idle_pct,ram_available_mb,disk_read_kbs,disk_write_kbs,net_rx_kbs,net_tx_kbs
2025-12-15T23:26:30,97.19,5232.58,0.00,136.62,0.17,0.07
2025-12-15T23:26:31,96.21,5230.34,0.00,0.00,0.23,0.42
2025-12-15T23:26:32,97.02,5230.10,0.00,0.00,0.37,0.17
2025-12-15T23:26:33,96.25,5229.61,0.00,0.00,0.05,0.12
2025-12-15T23:26:34,95.94,5228.63,0.00,173.76,0.10,0.17
2025-12-15T23:26:36,96.92,5227.65,0.00,0.00,2.67,0.11
2025-12-15T23:26:37,94.79,5226.46,0.00,7.10,486.02,24.89
2025-12-15T23:26:38,95.34,5226.80,27.10,0.00,858.55,1.88
2025-12-15T23:26:39,94.70,5226.80,18.60,130.23,0.14,0.11
2025-12-15T23:26:40,89.30,5224.88,387.67,718.94,542.37,0.13
2025-12-15T23:26:41,95.86,5224.88,14.18,99.29,132.99,1.91
2025-12-15T23:26:43,96.86,5224.64,0.00,0.00,1.10,0.18
2025-12-15T23:26:44,96.31,5223.91,21.22,7.07,2.10,1.90
2025-12-15T23:26:45,96.95,5223.13,0.00,0.00,0.05,0.18
2025-12-15T23:26:46,96.61,5222.50,0.00,141.22,0.16,0.13
2025-12-15T23:26:48,96.80,5223.04,0.00,0.00,0.27,0.19
2025-12-15T23:26:49,97.11,5223.54,27.99,184.74,0.90,2.09
2025-12-15T23:26:50,97.76,5224.01,0.00,17.43,0.04,0.10
2025-12-15T23:26:52,96.63,5223.67,34.48,131.03,1.74,1.81
2025-12-15T23:26:53,97.24,5223.94,0.00,6.58,0.16,0.12
2025-12-15T23:26:54,96.56,5224.20,0.00,12.55,0.63,1.65
2025-12-15T23:26:55,96.33,5224.54,0.00,26.56,0.05,0.12
2025-12-15T23:26:57,95.91,5224.69,6.09,134.04,0.65,1.90
2025-12-15T23:26:58,97.27,5224.56,0.00,0.00,0.45,0.13
2025-12-15T23:26:59,96.40,5224.56,0.00,6.94,0.87,0.12
2025-12-15T23:27:00,96.47,5224.32,0.00,13.64,1.48,1.92
2025-12-15T23:27:02,97.07,5224.32,0.00,0.00,0.82,0.14
2025-12-15T23:27:03,96.72,5224.33,0.00,216.22,1.20,1.68
2025-12-15T23:27:04,91.30,5225.38,1090.91,89.19,0.69,0.65
2025-12-15T23:27:05,91.36,5224.75,99.38,1497.78,20.25,6.96
2025-12-15T23:27:06,91.31,5224.62,6.09,804.27,15.65,2.87
2025-12-15T23:27:08,92.18,5224.50,0.00,884.21,148.01,3.39
2025-12-15T23:27:09,88.22,5224.06,0.00,1110.32,974.27,18.97
2025-12-15T23:27:10,71.43,5170.73,96493.83,1305.11,1.74,2.83
2025-12-15T23:27:11,68.80,5151.77,12537.85,883.35,0.62,0.33
2025-12-15T23:27:12,79.65,5223.73,7.18,1120.29,3.60,0.87
2025-12-15T23:27:13,80.09,5223.97,28.29,1591.51,67.00,3.05
2025-12-15T23:27:15,86.52,5223.57,0.00,932.15,3.35,1.52
2025-12-15T23:27:16,93.49,5223.61,21.33,1016.89,6.51,4.09
2025-12-15T23:27:17,59.49,5211.90,485.49,1505.72,0.38,0.13
2025-12-15T23:27:18,59.95,5212.05,184.40,4723.40,2.09,3.33
2025-12-15T23:27:19,60.10,5212.62,336.48,118461.80,0.30,0.13
2025-12-15T23:27:20,57.55,5209.49,101.27,3112.24,0.05,0.13
2025-12-15T23:27:22,87.41,5210.05,0.00,2368.60,4.22,3.19
2025-12-15T23:27:23,96.23,5209.78,26.04,0.00,2.00,1.93
2025-12-15T23:27:24,96.61,5209.75,0.00,34.81,0.41,0.18
2025-12-15T23:27:25,96.61,5209.56,0.00,14.08,2.10,0.23
2025-12-15T23:27:27,97.03,5209.56,0.00,0.00,0.20,0.17
2025-12-15T23:27:28,97.00,5209.84,0.00,0.00,10.83,0.12
2025-12-15T23:27:29,96.63,5210.12,0.00,433.57,0.27,0.12
