timestamp,cpu_idle_pct,ram_available_mb,disk_read_kbs,disk_write_kbs,net_rx_kbs,net_tx_kbs
2026-01-10T08:19:02,98.32,5206.30,0.00,0.00,0.06,0.00
2026-01-10T08:19:04,95.51,5205.56,0.00,6.67,0.16,0.12
2026-01-10T08:19:05,95.30,5204.34,0.00,0.00,0.21,0.34
2026-01-10T08:19:06,95.57,5204.34,0.00,20.39,1.07,0.49
2026-01-10T08:19:07,93.02,5203.30,2074.58,738.98,0.51,0.46
2026-01-10T08:19:08,95.34,5202.33,0.00,0.00,0.05,0.13
2026-01-10T08:19:10,96.21,5202.33,0.00,6.92,0.88,0.12
2026-01-10T08:19:11,96.61,5202.33,0.00,0.00,0.05,0.12
2026-01-10T08:19:12,94.99,5202.34,0.00,382.94,1.20,4.63
2026-01-10T08:19:13,96.21,5201.86,0.00,0.00,0.60,0.12
2026-01-10T08:19:14,95.58,5201.12,0.00,0.00,0.58,4.50
2026-01-10T08:19:15,95.76,5200.77,0.00,6.86,0.56,0.25
2026-01-10T08:19:17,94.98,5200.63,0.00,40.78,1.39,0.12
2026-01-10T08:19:18,96.24,5200.78,0.00,101.44,0.75,0.12
2026-01-10T08:19:19,95.43,5201.14,0.00,0.00,1.03,0.12
2026-01-10T08:19:20,95.38,5200.65,0.00,0.00,1.80,0.12
2026-01-10T08:19:21,93.55,5200.16,0.00,12.05,0.10,0.11
2026-01-10T08:19:23,94.90,5199.57,0.00,6.79,22.02,0.12
2026-01-10T08:19:24,95.81,5199.57,0.00,108.94,0.34,0.12
2026-01-10T08:19:25,93.99,5199.27,0.00,0.00,4.04,1.93
2026-01-10T08:19:26,93.39,5199.12,0.00,6.42,5.67,0.11
2026-01-10T08:19:27,94.52,5199.20,0.00,72.07,25.49,0.12
2026-01-10T08:19:29,93.76,5199.44,0.00,0.00,5.49,0.16
2026-01-10T08:19:30,93.51,5199.34,0.00,102.39,32.67,0.23
2026-01-10T08:19:31,89.28,5200.89,0.00,11.77,701.11,0.10
2026-01-10T08:19:32,89.60,5202.78,0.00,3766.28,1038.18,0.12
2026-01-10T08:19:34,92.08,5202.88,0.00,5.65,2.01,1.57
2026-01-10T08:19:35,95.81,5202.36,0.00,6.79,0.53,0.20
2026-01-10T08:19:36,94.46,5201.97,0.00,115.94,1.00,0.12
