timestamp,cpu_idle_pct,ram_available_mb,disk_read_kbs,disk_write_kbs,net_rx_kbs,net_tx_kbs
2025-12-13T22:10:07,99.59,5222.40,0.00,118.23,0.05,0.00
2025-12-13T22:10:08,98.33,5221.49,0.00,75.61,0.11,0.13
2025-12-13T22:10:09,98.80,5220.75,0.00,0.00,0.19,0.35
2025-12-13T22:10:10,98.35,5219.66,1991.86,0.00,0.81,0.76
2025-12-13T22:10:11,97.43,5219.41,7.35,639.71,0.70,0.13
2025-12-13T22:10:13,99.30,5219.61,0.00,0.00,0.24,0.14
2025-12-13T22:10:14,98.56,5218.73,0.00,0.00,1.05,0.19
2025-12-13T22:10:15,98.80,5217.50,0.00,0.00,0.39,0.19
2025-12-13T22:10:16,98.81,5216.52,0.00,7.53,0.06,0.19
2025-12-13T22:10:17,99.03,5216.52,0.00,113.74,0.06,0.19
2025-12-13T22:10:18,98.68,5216.92,0.00,6.97,0.10,0.18
2025-12-13T22:10:19,96.22,5209.04,59.37,0.00,6.79,5.87
2025-12-13T22:10:20,99.01,5208.41,0.00,0.00,0.09,0.11
2025-12-13T22:10:22,98.80,5207.68,0.00,159.24,0.06,0.14
2025-12-13T22:10:23,98.79,5206.45,0.00,7.58,3.19,3.90
2025-12-13T22:10:24,97.62,5203.78,0.00,7.53,1.21,1.11
2025-12-13T22:10:25,98.32,5202.81,0.00,1055.61,0.06,0.22
2025-12-13T22:10:26,98.80,5202.32,0.00,0.00,0.61,0.87
2025-12-13T22:10:27,90.25,5217.61,0.00,144.21,4.40,4.65
2025-12-13T22:10:28,98.56,5216.88,0.00,7.60,0.06,0.14
2025-12-13T22:10:29,98.80,5215.41,0.00,0.00,0.13,0.13
2025-12-13T22:10:30,96.02,5212.64,0.00,15.18,9.92,9.47
2025-12-13T22:10:31,98.60,5211.19,0.00,227.94,0.33,0.42
2025-12-13T22:10:32,98.21,5210.22,0.00,7.03,0.05,0.13
2025-12-13T22:10:33,96.14,5207.88,0.00,7.56,4.49,4.88
2025-12-13T22:10:34,98.57,5206.43,0.00,0.00,0.51,0.41
2025-12-13T22:10:35,99.51,5205.93,0.00,0.00,0.94,0.22
2025-12-13T22:10:36,97.44,5210.55,0.00,1173.04,4.19,2.24
2025-12-13T22:10:38,98.56,5210.71,0.00,15.09,0.66,0.38
2025-12-13T22:10:39,98.86,5210.99,0.00,57.87,0.13,0.13
2025-12-13T22:10:40,98.81,5211.74,0.00,0.00,0.47,0.13
