timestamp,cpu_idle_pct,ram_available_mb,disk_read_kbs,disk_write_kbs,net_rx_kbs,net_tx_kbs
2025-12-13T22:01:13,99.52,5226.27,0.00,0.00,0.42,0.25
2025-12-13T22:01:14,99.06,5225.43,0.00,140.74,5.14,0.38
2025-12-13T22:01:15,98.80,5224.80,0.00,7.58,0.96,0.14
2025-12-13T22:01:16,99.03,5224.31,0.00,0.00,0.09,0.11
2025-12-13T22:01:17,98.30,5223.76,0.00,128.27,0.40,0.42
2025-12-13T22:01:18,98.33,5222.84,0.00,105.16,0.17,0.13
2025-12-13T22:01:20,98.61,5221.88,0.00,73.19,0.19,0.21
2025-12-13T22:01:21,97.86,5220.30,2291.04,7.46,0.93,0.71
2025-12-13T22:01:22,98.63,5219.37,0.00,0.00,0.18,0.13
2025-12-13T22:01:23,99.04,5218.63,0.00,0.00,1.56,0.14
2025-12-13T22:01:24,98.32,5217.40,0.00,181.65,0.06,0.13
2025-12-13T22:01:25,98.60,5216.72,0.00,0.00,0.05,0.13
2025-12-13T22:01:26,98.80,5216.48,0.00,467.92,0.26,0.13
2025-12-13T22:01:27,99.01,5216.38,0.00,0.00,0.22,0.11
2025-12-13T22:01:29,99.05,5216.24,0.00,95.45,0.04,0.19
2025-12-13T22:01:30,98.80,5215.51,0.00,0.00,0.50,0.19
2025-12-13T22:01:31,98.49,5215.16,0.00,6.80,0.49,0.17
2025-12-13T22:01:32,98.80,5215.86,0.00,7.59,0.06,0.19
2025-12-13T22:01:33,98.80,5216.85,0.00,0.00,0.06,0.19
2025-12-13T22:01:34,98.59,5217.70,0.00,104.19,0.05,0.13
2025-12-13T22:01:35,98.87,5218.73,0.00,0.00,0.05,0.13
2025-12-13T22:01:36,98.57,5218.73,0.00,0.00,0.38,0.13
2025-12-13T22:01:37,90.71,5228.24,59.48,7.43,3.67,3.53
2025-12-13T22:01:38,98.56,5227.07,0.00,0.00,0.57,0.14
2025-12-13T22:01:39,98.08,5225.86,0.00,158.79,2.86,2.94
2025-12-13T22:01:40,98.38,5224.84,0.00,0.00,1.39,1.22
2025-12-13T22:01:42,99.22,5224.11,0.00,39.60,0.04,0.09
2025-12-13T22:01:43,97.85,5224.11,0.00,355.72,3.05,0.13
