timestamp,cpu_idle_pct,ram_available_mb,disk_read_kbs,disk_write_kbs,net_rx_kbs,net_tx_kbs
2025-12-13T19:06:35,98.80,5247.61,0.00,0.00,0.07,0.00
2025-12-13T19:06:36,95.47,5244.21,2036.48,0.00,0.22,0.34
2025-12-13T19:06:37,97.09,5243.42,0.00,0.00,0.51,0.12
2025-12-13T19:06:38,95.83,5242.68,0.00,183.36,0.63,0.12
2025-12-13T19:06:40,97.12,5241.46,0.00,0.00,0.15,0.10
2025-12-13T19:06:41,96.91,5239.98,0.00,0.00,0.13,0.12
2025-12-13T19:06:42,97.05,5238.51,0.00,0.00,0.05,0.13
2025-12-13T19:06:43,97.47,5237.28,0.00,7.16,0.14,0.21
2025-12-13T19:06:44,96.39,5236.80,0.00,225.55,0.05,0.20
2025-12-13T19:06:45,97.26,5236.80,0.00,0.00,0.22,0.12
2025-12-13T19:06:46,97.25,5236.80,0.00,7.09,2.93,0.40
2025-12-13T19:06:48,97.04,5235.57,0.00,7.10,0.14,0.13
2025-12-13T19:06:49,97.06,5234.84,0.00,0.00,0.14,0.13
2025-12-13T19:06:50,96.86,5234.11,0.00,6.99,0.05,0.12
2025-12-13T19:06:51,96.30,5233.38,0.00,86.49,0.34,0.13
2025-12-13T19:06:52,97.47,5233.62,0.00,13.11,0.16,0.19
2025-12-13T19:06:53,97.29,5234.06,0.00,0.00,0.19,0.13
2025-12-13T19:06:54,97.03,5234.51,0.00,0.00,0.16,0.21
2025-12-13T19:06:56,96.91,5233.88,0.00,6.87,0.18,0.12
2025-12-13T19:06:57,97.05,5233.88,0.00,0.00,0.14,0.13
2025-12-13T19:06:58,97.50,5232.41,0.00,91.71,0.10,0.13
2025-12-13T19:06:59,96.85,5230.94,0.00,0.00,0.26,0.20
2025-12-13T19:07:00,97.69,5230.10,0.00,0.00,0.42,0.21
2025-12-13T19:07:01,97.15,5229.03,0.00,12.74,0.23,0.18
2025-12-13T19:07:03,94.77,5228.85,0.00,724.71,0.11,0.20
2025-12-13T19:07:04,97.74,5228.35,0.00,0.00,0.04,0.10
2025-12-13T19:07:05,97.39,5227.38,0.00,5.48,0.43,0.10
2025-12-13T19:07:07,97.47,5227.20,0.00,7.13,0.24,0.13
2025-12-13T19:07:08,97.04,5227.04,0.00,98.85,0.16,0.13
2025-12-13T19:07:09,96.62,5227.52,0.00,0.00,0.52,0.13
2025-12-13T19:07:10,97.05,5228.09,0.00,0.00,0.05,0.13
2025-12-13T19:07:11,95.89,5231.04,0.00,232.19,0.05,0.13
2025-12-13T19:07:12,97.06,5232.27,0.00,7.07,0.05,0.13
2025-12-13T19:07:14,97.35,5233.36,0.00,56.87,0.05,0.11
2025-12-13T19:07:15,97.33,5234.24,0.00,0.00,0.12,0.12
2025-12-13T19:07:16,97.70,5233.90,0.00,61.30,0.14,0.09
2025-12-13T19:07:17,97.08,5233.81,0.00,6.97,0.36,0.12
2025-12-13T19:07:19,96.21,5233.17,0.00,0.00,0.36,0.12
2025-12-13T19:07:20,94.30,5231.56,28.75,7.19,168.22,98.46
2025-12-13T19:07:21,95.33,5230.55,0.00,0.00,104.25,43.13
2025-12-13T19:07:22,96.30,5228.51,0.00,107.72,0.92,26.77
2025-12-13T19:07:23,95.24,5224.09,0.00,911.03,2.16,67.63
2025-12-13T19:07:24,97.25,5223.95,0.00,7.11,0.10,0.18
2025-12-13T19:07:25,93.33,5214.35,0.00,21.35,3.95,126.42
2025-12-13T19:07:26,86.56,5191.43,0.00,0.00,9.14,297.21
2025-12-13T19:07:27,85.58,5166.40,0.00,121.86,8.56,297.77
2025-12-13T19:07:29,82.99,5138.43,0.00,0.00,8.38,251.91
2025-12-13T19:07:30,91.20,5121.59,0.00,71.68,5.47,147.05
2025-12-13T19:07:31,96.40,5119.85,0.00,6.89,3.65,59.54
2025-12-13T19:07:32,95.09,5118.05,0.00,0.00,5.88,135.75
2025-12-13T19:07:33,94.41,5115.61,0.00,120.04,9.47,231.71
2025-12-13T19:07:34,93.29,5114.45,0.00,0.00,10.14,306.36
2025-12-13T19:07:35,94.36,5113.31,0.00,76.06,7.96,257.98
2025-12-13T19:07:37,96.10,5111.84,0.00,7.03,6.00,191.38
2025-12-13T19:07:38,95.60,5111.62,0.00,115.25,4.10,65.08
2025-12-13T19:07:39,94.95,5111.43,0.00,0.00,7.77,146.74
2025-12-13T19:07:40,94.46,5110.89,0.00,0.00,9.12,264.45
2025-12-13T19:07:41,93.36,5110.04,0.00,55.85,9.78,300.47
2025-12-13T19:07:42,94.29,5109.62,0.00,6.97,8.88,280.20
2025-12-13T19:07:43,96.40,5108.75,0.00,103.99,5.41,168.79
2025-12-13T19:07:45,73.96,5100.35,5989.49,0.00,117.69,1201.64
2025-12-13T19:07:46,81.28,5098.68,0.00,0.00,314.65,450.94
2025-12-13T19:07:47,97.27,5098.86,0.00,123.68,7.75,0.12
2025-12-13T19:07:48,96.37,5098.67,0.00,381.63,5.55,12.40
2025-12-13T19:07:49,96.69,5098.67,20.57,0.00,9.14,2.70
2025-12-13T19:07:50,92.52,5096.70,0.00,0.00,8.58,8.45
2025-12-13T19:07:52,89.86,5096.49,0.00,0.00,24.47,827.89
2025-12-13T19:07:53,90.53,5095.31,0.00,165.52,92.88,332.18
2025-12-13T19:07:54,97.18,5094.67,0.00,12701.48,11.20,0.12
2025-12-13T19:07:55,97.31,5093.46,0.00,0.00,4.65,0.18
2025-12-13T19:07:56,97.17,5091.98,0.00,0.00,6.70,3.01
2025-12-13T19:07:58,96.37,5091.53,0.00,114.14,6.18,11.57
