"No.","Time","Source","Destination","Protocol","Length","Info"
"1","0.000000","192.168.18.21","192.168.18.49","SSH","178","Server: Encrypted packet (len=124)"
"2","0.055555","192.168.18.49","192.168.18.21","TCP","60","50637  >  22 [ACK] Seq=1 Ack=125 Win=252 Len=0"
"3","0.462857","192.168.18.21","192.168.18.49","SSH","146","Server: Encrypted packet (len=92)"
"4","0.518811","192.168.18.49","192.168.18.21","TCP","60","50641  >  22 [ACK] Seq=1 Ack=93 Win=255 Len=0"
"9","1.728326","192.168.18.21","192.168.18.49","SSH","146","Server: Encrypted packet (len=92)"
"10","1.776471","192.168.18.49","192.168.18.21","TCP","60","50641  >  22 [ACK] Seq=1 Ack=185 Win=254 Len=0"
"13","2.301485","195.128.248.23","192.168.18.221","TCP","409","82  >  49706 [PSH, ACK] Seq=1 Ack=1 Win=13 Len=355"
"14","2.342422","192.168.18.221","195.128.248.23","TCP","60","49706  >  82 [ACK] Seq=1 Ack=356 Win=510 Len=0"
"15","2.905933","192.168.18.21","192.168.18.49","SSH","146","Server: Encrypted packet (len=92)"
"16","2.959423","192.168.18.49","192.168.18.21","TCP","60","50641  >  22 [ACK] Seq=1 Ack=277 Win=254 Len=0"
"19","4.310193","192.168.18.21","192.168.18.49","SSH","146","Server: Encrypted packet (len=92)"
"20","4.363071","192.168.18.49","192.168.18.21","TCP","60","50641  >  22 [ACK] Seq=1 Ack=369 Win=254 Len=0"
"22","5.470397","192.168.18.21","192.168.18.49","SSH","146","Server: Encrypted packet (len=92)"
"23","5.520203","192.168.18.49","192.168.18.21","TCP","60","50641  >  22 [ACK] Seq=1 Ack=461 Win=253 Len=0"
"24","6.587963","192.168.18.21","192.168.18.49","SSH","146","Server: Encrypted packet (len=92)"
"25","6.588957","192.168.18.21","192.168.18.49","SSH","90","Server: Encrypted packet (len=36)"
"26","6.592118","192.168.18.49","192.168.18.21","TCP","60","50641  >  22 [ACK] Seq=1 Ack=589 Win=253 Len=0"
"28","7.721384","192.168.18.21","192.168.18.49","SSH","146","Server: Encrypted packet (len=92)"
"29","7.722402","192.168.18.21","192.168.18.49","SSH","90","Server: Encrypted packet (len=36)"
"30","7.727886","192.168.18.49","192.168.18.21","TCP","60","50641  >  22 [ACK] Seq=1 Ack=717 Win=252 Len=0"
"31","8.858171","192.168.18.21","192.168.18.49","SSH","146","Server: Encrypted packet (len=92)"
"32","8.909462","192.168.18.49","192.168.18.21","TCP","60","50641  >  22 [ACK] Seq=1 Ack=809 Win=252 Len=0"
"36","10.062301","192.168.18.21","192.168.18.49","SSH","146","Server: Encrypted packet (len=92)"
"37","10.109106","192.168.18.49","192.168.18.21","TCP","60","50641  >  22 [ACK] Seq=1 Ack=901 Win=252 Len=0"
"81","11.201004","192.168.18.21","192.168.18.49","SSH","146","Server: Encrypted packet (len=92)"
"82","11.256088","192.168.18.49","192.168.18.21","TCP","60","50641  >  22 [ACK] Seq=1 Ack=993 Win=251 Len=0"
"84","12.328307","192.168.18.21","192.168.18.49","SSH","146","Server: Encrypted packet (len=92)"
"85","12.380517","192.168.18.49","192.168.18.21","TCP","60","50641  >  22 [ACK] Seq=1 Ack=1085 Win=251 Len=0"
"87","13.465194","192.168.18.21","192.168.18.49","SSH","146","Server: Encrypted packet (len=92)"
"88","13.521857","192.168.18.49","192.168.18.21","TCP","60","50641  >  22 [ACK] Seq=1 Ack=1177 Win=251 Len=0"
"89","14.590118","192.168.18.21","192.168.18.49","SSH","146","Server: Encrypted packet (len=92)"
"90","14.640568","192.168.18.49","192.168.18.21","TCP","60","50641  >  22 [ACK] Seq=1 Ack=1269 Win=250 Len=0"
"95","15.722795","192.168.18.21","192.168.18.49","SSH","146","Server: Encrypted packet (len=92)"
"98","15.767947","192.168.18.49","192.168.18.21","TCP","60","50641  >  22 [ACK] Seq=1 Ack=1361 Win=250 Len=0"
"100","16.929480","192.168.18.21","192.168.18.49","SSH","146","Server: Encrypted packet (len=92)"
"101","16.975696","192.168.18.49","192.168.18.21","TCP","60","50641  >  22 [ACK] Seq=1 Ack=1453 Win=255 Len=0"
"104","18.053989","192.168.18.21","192.168.18.49","SSH","146","Server: Encrypted packet (len=92)"
