timestamp,cpu_idle_pct,ram_available_mb,disk_read_kbs,disk_write_kbs,net_rx_kbs,net_tx_kbs
2025-12-13T19:21:51,98.09,5234.59,0.00,0.00,0.06,0.00
2025-12-13T19:21:52,95.88,5233.11,0.00,0.00,0.43,0.29
2025-12-13T19:21:54,96.08,5231.64,0.00,0.00,0.64,0.31
2025-12-13T19:21:55,93.68,5231.38,1707.93,684.28,0.43,0.57
2025-12-13T19:21:56,94.85,5231.38,0.00,0.00,0.05,0.12
2025-12-13T19:21:58,96.01,5231.39,0.00,0.00,0.31,0.33
2025-12-13T19:21:59,95.77,5229.92,0.00,0.00,2.35,0.37
2025-12-13T19:22:00,96.03,5229.43,0.00,107.02,0.57,0.12
2025-12-13T19:22:01,96.11,5229.42,0.00,6.72,0.36,0.19
2025-12-13T19:22:03,95.18,5229.65,0.00,6.76,1.14,1.14
2025-12-13T19:22:04,94.41,5229.94,0.00,0.00,1.61,1.22
2025-12-13T19:22:05,95.01,5228.19,0.00,0.00,0.96,0.75
2025-12-13T19:22:06,94.83,5227.59,0.00,140.70,0.05,0.12
2025-12-13T19:22:07,96.00,5227.15,0.00,6.87,0.54,0.12
2025-12-13T19:22:08,96.51,5226.96,0.00,0.00,0.48,0.12
2025-12-13T19:22:10,95.95,5226.96,0.00,248.21,0.05,0.11
2025-12-13T19:22:11,96.00,5226.47,0.00,6.82,0.15,0.12
2025-12-13T19:22:12,95.89,5226.47,0.00,115.33,0.09,0.11
2025-12-13T19:22:13,96.27,5226.73,0.00,6.79,0.62,0.12
2025-12-13T19:22:15,95.63,5226.39,0.00,6.72,0.05,0.12
2025-12-13T19:22:16,96.08,5224.77,0.00,13.62,0.05,0.12
2025-12-13T19:22:17,96.21,5223.68,0.00,6.57,0.05,0.12
2025-12-13T19:22:18,96.30,5222.45,0.00,78.20,0.70,0.11
2025-12-13T19:22:20,95.96,5221.09,0.00,6.62,0.10,0.12
2025-12-13T19:22:21,95.45,5220.60,0.00,13.30,0.10,0.12
2025-12-13T19:22:22,92.79,5220.32,642.23,0.00,44.67,13.40
2025-12-13T19:22:23,92.91,5219.04,0.00,13.71,88.49,23.09
2025-12-13T19:22:24,93.13,5215.34,0.00,136.17,87.89,22.69
2025-12-13T19:22:25,91.01,5210.61,0.00,6.67,30.78,5.64
2025-12-13T19:22:27,90.09,5201.59,0.00,47.74,30.10,2.10
2025-12-13T19:22:28,83.41,5180.60,0.00,768.05,75.17,5.66
2025-12-13T19:22:29,84.70,5158.43,0.00,47.70,86.94,5.93
2025-12-13T19:22:30,85.17,5137.01,0.00,140.47,86.94,5.64
2025-12-13T19:22:31,89.73,5124.63,0.00,13.70,63.65,3.01
2025-12-13T19:22:33,91.20,5124.35,0.00,0.00,83.99,34.99
2025-12-13T19:22:34,95.48,5123.91,0.00,0.00,16.66,0.17
2025-12-13T19:22:35,95.15,5123.92,0.00,137.25,11.74,0.12
2025-12-13T19:22:36,96.44,5123.45,0.00,6.85,20.62,0.12
2025-12-13T19:22:37,96.44,5123.47,0.00,13.69,15.99,0.12
2025-12-13T19:22:38,95.81,5123.50,0.00,0.00,9.11,0.12
2025-12-13T19:22:40,96.05,5123.27,0.00,0.00,0.50,0.11
2025-12-13T19:22:41,95.63,5123.27,0.00,88.19,0.73,0.11
2025-12-13T19:22:42,92.49,5123.28,0.00,0.00,52.46,36.18
2025-12-13T19:22:44,95.53,5122.93,0.00,6.29,12.15,4.04
2025-12-13T19:22:45,95.93,5122.50,0.00,0.00,15.22,2.67
2025-12-13T19:22:46,94.46,5122.07,0.00,94.44,55.82,8.92
2025-12-13T19:22:47,95.09,5120.96,0.00,0.00,20.10,9.97
2025-12-13T19:22:48,95.64,5119.18,0.00,27.28,4.54,19.18
2025-12-13T19:22:49,95.39,5117.36,0.00,6.96,7.34,20.01
2025-12-13T19:22:51,94.71,5115.13,0.00,91.46,3.18,15.04
2025-12-13T19:22:52,91.95,5113.71,0.00,0.00,43.23,35.50
2025-12-13T19:22:53,95.89,5113.36,0.00,65.47,0.96,3.52
2025-12-13T19:22:55,95.86,5112.88,0.00,0.00,1.11,0.26
2025-12-13T19:22:56,95.78,5111.90,0.00,96.30,0.54,0.23
2025-12-13T19:22:57,95.06,5111.91,0.00,0.00,0.45,0.20
2025-12-13T19:22:59,94.83,5111.91,0.00,1758.87,13.99,2.80
2025-12-13T19:23:00,95.30,5111.70,0.00,0.00,16.55,3.35
2025-12-13T19:23:01,94.74,5111.51,0.00,114.01,25.78,4.63
2025-12-13T19:23:02,92.07,5111.54,0.00,0.00,59.97,36.53
2025-12-13T19:23:03,96.08,5111.68,0.00,0.00,4.67,0.12
2025-12-13T19:23:05,95.35,5111.69,0.00,13.65,1.78,5.07
2025-12-13T19:23:06,95.78,5111.70,0.00,6.85,3.15,2.80
2025-12-13T19:23:07,95.40,5111.71,0.00,79.21,1.23,4.16
2025-12-13T19:23:08,95.81,5111.72,0.00,6.33,2.68,9.03
