timestamp,cpu_idle_pct,ram_available_mb,disk_read_kbs,disk_write_kbs,net_rx_kbs,net_tx_kbs
2025-12-13T20:57:45,98.32,5236.56,0.00,0.00,0.61,0.06
2025-12-13T20:57:46,97.23,5235.36,0.00,0.00,1.14,0.13
2025-12-13T20:57:47,97.06,5235.27,0.00,126.54,0.05,0.13
2025-12-13T20:57:48,96.81,5235.27,0.00,49.25,0.05,0.13
2025-12-13T20:57:49,96.53,5235.03,0.00,207.51,0.05,0.13
2025-12-13T20:57:50,96.82,5235.13,0.00,0.00,0.05,0.13
2025-12-13T20:57:52,96.62,5234.40,0.00,0.00,0.27,0.13
2025-12-13T20:57:53,95.81,5233.85,0.00,94.59,0.10,0.12
2025-12-13T20:57:54,97.02,5233.57,0.00,0.00,0.16,0.13
2025-12-13T20:57:55,97.03,5232.83,0.00,7.10,0.68,0.44
2025-12-13T20:57:56,96.61,5232.59,0.00,0.00,0.66,0.35
2025-12-13T20:57:57,96.30,5233.08,0.00,107.62,0.33,0.45
2025-12-13T20:57:58,96.36,5233.09,1144.88,0.00,0.83,0.59
2025-12-13T20:57:59,95.64,5231.41,1022.93,0.00,0.10,0.28
2025-12-13T20:58:01,96.84,5230.43,0.00,14.04,0.29,0.13
2025-12-13T20:58:02,96.39,5229.45,0.00,7.04,0.37,0.13
2025-12-13T20:58:03,96.40,5228.46,0.00,159.58,0.11,0.12
2025-12-13T20:58:04,95.88,5227.39,0.00,407.37,0.05,0.13
2025-12-13T20:58:05,96.82,5227.39,0.00,0.00,0.05,0.13
2025-12-13T20:58:06,96.83,5227.64,0.00,7.05,0.12,0.13
2025-12-13T20:58:07,96.60,5228.18,0.00,245.83,0.10,0.13
2025-12-13T20:58:09,97.49,5228.67,0.00,0.00,0.10,0.12
2025-12-13T20:58:10,97.03,5229.22,0.00,0.00,0.42,0.13
2025-12-13T20:58:11,96.80,5229.38,0.00,0.00,0.30,0.13
2025-12-13T20:58:12,96.60,5229.66,0.00,7.05,0.38,0.18
2025-12-13T20:58:13,96.14,5229.50,0.00,91.79,0.10,0.18
2025-12-13T20:58:14,97.27,5229.50,0.00,7.03,0.19,0.18
2025-12-13T20:58:15,97.03,5229.50,0.00,0.00,0.10,0.18
2025-12-13T20:58:17,96.81,5229.50,0.00,0.00,0.51,0.18
2025-12-13T20:58:18,96.59,5229.51,0.00,161.40,0.10,0.18
2025-12-13T20:58:19,97.03,5229.51,0.00,0.00,0.05,0.13
2025-12-13T20:58:20,97.27,5229.27,0.00,0.00,0.05,0.13
2025-12-13T20:58:21,97.02,5227.94,0.00,0.00,0.86,0.13
