timestamp,cpu_idle_pct,ram_available_mb,disk_read_kbs,disk_write_kbs,net_rx_kbs,net_tx_kbs
2025-12-13T22:18:22,73.70,5031.27,0.00,0.00,0.12,0.00
2025-12-13T22:18:23,71.33,5099.90,2504.22,4318.65,0.32,0.38
2025-12-13T22:18:24,72.73,5030.25,0.00,11472.40,0.16,0.14
2025-12-13T22:18:25,72.73,5088.89,0.00,1620.92,0.11,0.14
2025-12-13T22:18:26,72.90,5122.95,0.00,11865.17,0.05,0.13
2025-12-13T22:18:27,73.35,5121.25,290.77,298.23,0.48,0.21
2025-12-13T22:18:28,75.00,5118.07,0.00,7.46,0.16,0.14
2025-12-13T22:18:29,73.79,5115.21,0.00,7.48,0.11,0.13
2025-12-13T22:18:31,76.07,5118.80,0.00,0.00,0.06,0.19
2025-12-13T22:18:32,65.52,5118.84,0.00,11136.96,0.05,0.19
2025-12-13T22:18:33,74.51,5119.12,0.00,0.00,0.05,0.27
2025-12-13T22:18:34,74.08,5118.87,0.00,7.48,0.14,0.27
2025-12-13T22:18:35,74.50,5118.48,0.00,0.00,0.39,0.19
2025-12-13T22:18:36,56.17,5082.85,614.81,0.00,27.53,37.35
2025-12-13T22:18:37,74.63,5076.41,260.22,959.11,0.24,0.14
2025-12-13T22:18:38,73.33,5076.94,3143.12,149.67,3.01,3.07
2025-12-13T22:18:39,61.43,5085.78,31407.96,7.40,24.37,29.37
2025-12-13T22:18:40,64.62,5083.17,51908.17,0.00,9.31,12.87
2025-12-13T22:18:41,72.00,5076.65,15760.30,89.89,4.29,5.58
2025-12-13T22:18:42,65.26,5082.91,284.64,1880.15,15.47,19.84
2025-12-13T22:18:43,65.78,5082.04,244.44,0.00,14.41,17.64
2025-12-13T22:18:44,73.88,5081.13,2547.49,357.54,2.24,3.03
2025-12-13T22:18:46,74.07,5081.20,0.00,0.00,0.05,0.14
2025-12-13T22:18:47,62.71,5080.22,52.34,1398.13,17.03,22.17
2025-12-13T22:18:48,46.78,5048.68,267.66,7.43,14.23,18.09
2025-12-13T22:18:49,67.56,5077.02,1375.23,14.79,2.45,3.68
2025-12-13T22:18:50,64.71,5083.95,3427.50,7.48,13.18,17.34
2025-12-13T22:18:51,75.25,5089.91,0.00,284.64,0.30,0.48
2025-12-13T22:18:52,72.59,5103.26,1268.29,2604.13,1.06,1.31
2025-12-13T22:18:53,73.89,5109.75,19232.93,7.48,0.11,0.14
2025-12-13T22:18:54,73.17,5116.91,20957.33,7.42,0.53,0.14
