timestamp,cpu_idle_pct,ram_available_mb,disk_read_kbs,disk_write_kbs,net_rx_kbs,net_tx_kbs
2025-12-13T23:49:11,99.50,5199.35,0.00,142.72,4.41,0.00
2025-12-13T23:49:12,98.57,5198.86,0.00,0.00,0.58,0.48
2025-12-13T23:49:13,98.94,5198.76,0.00,0.00,0.05,0.12
2025-12-13T23:49:14,98.32,5196.72,0.00,0.00,0.17,0.35
2025-12-13T23:49:16,99.45,5195.50,0.00,104.75,0.17,0.08
2025-12-13T23:49:17,98.33,5194.77,0.00,0.00,2.59,0.14
2025-12-13T23:49:18,98.33,5194.42,0.00,0.00,5.97,7.97
2025-12-13T23:49:19,98.71,5194.93,0.00,29.30,2.12,6.06
2025-12-13T23:49:21,98.09,5195.18,0.00,136.23,2.19,5.90
2025-12-13T23:49:22,98.43,5195.71,0.00,91.87,1.93,5.39
2025-12-13T23:49:23,98.38,5195.72,0.00,21.96,1.42,3.81
2025-12-13T23:49:24,99.01,5195.23,0.00,0.00,1.70,4.11
2025-12-13T23:49:25,98.56,5194.12,0.00,75.61,1.25,1.97
2025-12-13T23:49:27,98.91,5193.29,0.00,103.45,1.17,0.35
2025-12-13T23:49:28,99.07,5193.46,0.00,7.37,1.20,2.16
2025-12-13T23:49:29,97.83,5192.20,0.00,448.24,1.00,2.38
2025-12-13T23:49:30,98.33,5191.46,0.00,0.00,0.92,2.16
2025-12-13T23:49:31,98.57,5190.77,0.00,44.90,2.06,4.08
2025-12-13T23:49:32,98.83,5190.04,0.00,0.00,0.84,2.12
2025-12-13T23:49:33,98.56,5189.71,0.00,7.57,0.96,2.16
2025-12-13T23:49:34,98.56,5188.84,0.00,128.79,0.97,2.25
2025-12-13T23:49:35,98.32,5188.75,0.00,0.00,0.98,2.23
2025-12-13T23:49:36,98.33,5188.76,0.00,7.47,1.49,2.13
2025-12-13T23:49:37,98.83,5188.42,0.00,37.09,0.97,1.82
2025-12-13T23:49:38,98.80,5188.82,0.00,15.15,1.21,2.23
2025-12-13T23:49:40,98.80,5188.54,0.00,143.67,1.52,4.06
2025-12-13T23:49:41,98.41,5188.98,0.00,7.22,0.93,2.06
2025-12-13T23:49:42,98.81,5188.75,0.00,0.00,2.03,2.21
2025-12-13T23:49:43,98.57,5188.63,0.00,0.00,0.27,0.20
2025-12-13T23:49:44,99.03,5189.01,0.00,53.03,0.92,2.16
2025-12-13T23:49:45,98.61,5188.59,0.00,117.43,0.83,2.18
2025-12-13T23:49:46,98.50,5189.33,0.00,6.80,0.99,1.94
2025-12-13T23:49:47,98.80,5189.94,0.00,0.00,1.06,2.16
2025-12-13T23:49:48,98.86,5190.68,0.00,0.00,0.93,2.06
2025-12-13T23:49:49,98.39,5190.82,0.00,101.36,1.19,2.15
2025-12-13T23:49:50,98.62,5190.23,0.00,36.43,0.13,0.27
2025-12-13T23:49:52,98.79,5191.47,0.00,22.81,0.86,2.11
2025-12-13T23:49:53,99.25,5192.21,0.00,0.00,0.67,1.70
2025-12-13T23:49:54,98.56,5192.32,0.00,0.00,0.99,2.16
2025-12-13T23:49:55,98.64,5192.33,0.00,135.59,0.88,2.09
2025-12-13T23:49:56,98.57,5192.09,0.00,7.57,0.41,0.19
2025-12-13T23:49:57,99.04,5191.85,0.00,75.83,1.49,2.28
2025-12-13T23:49:58,98.56,5191.86,0.00,30.27,2.05,2.24
2025-12-13T23:49:59,98.65,5191.86,0.00,0.00,0.81,2.03
2025-12-13T23:50:00,99.03,5191.86,0.00,144.35,0.12,0.34
2025-12-13T23:50:01,98.80,5192.62,0.00,7.54,1.43,2.15
2025-12-13T23:50:03,99.05,5192.87,0.00,0.00,0.85,2.08
2025-12-13T23:50:04,98.81,5191.89,0.00,37.63,0.32,0.28
2025-12-13T23:50:05,99.28,5191.89,0.00,7.48,0.96,2.14
2025-12-13T23:50:06,98.56,5192.09,0.00,150.80,1.10,2.09
2025-12-13T23:50:07,98.80,5191.34,0.00,0.00,0.17,0.20
2025-12-13T23:50:08,98.56,5191.49,0.00,22.68,1.03,2.16
2025-12-13T23:50:09,98.53,5191.21,0.00,13.21,0.69,1.96
2025-12-13T23:50:10,98.35,5191.75,0.00,0.00,0.99,2.07
2025-12-13T23:50:11,98.13,5191.52,0.00,147.60,0.28,0.27
2025-12-13T23:50:12,98.76,5191.38,0.00,0.00,1.12,1.86
