timestamp,cpu_idle_pct,ram_available_mb,disk_read_kbs,disk_write_kbs,net_rx_kbs,net_tx_kbs
2025-12-14T11:02:01,98.55,5179.29,0.00,0.00,0.29,0.06
2025-12-14T11:02:03,97.93,5178.45,0.00,0.00,0.22,0.15
2025-12-14T11:02:04,97.59,5178.24,0.00,0.00,0.69,0.36
2025-12-14T11:02:05,96.38,5178.25,0.00,267.84,0.29,0.22
2025-12-14T11:02:06,96.33,5176.07,0.00,54.01,0.30,0.27
2025-12-14T11:02:08,97.48,5176.22,0.00,0.00,0.21,0.13
2025-12-14T11:02:09,97.53,5176.65,0.00,0.00,0.42,0.12
2025-12-14T11:02:10,97.46,5177.39,0.00,0.00,0.26,0.11
2025-12-14T11:02:11,96.57,5177.11,0.00,314.01,0.47,0.13
2025-12-14T11:02:12,97.36,5177.56,0.00,151.07,0.26,0.17
2025-12-14T11:02:13,97.04,5177.95,0.00,0.00,1.55,2.04
2025-12-14T11:02:15,96.91,5177.99,0.00,0.00,2.73,7.04
2025-12-14T11:02:16,97.21,5177.76,0.00,5.46,2.43,5.54
2025-12-14T11:02:17,95.94,5177.63,0.00,98.50,1.55,3.60
2025-12-14T11:02:19,96.74,5177.64,0.00,14.48,1.85,3.78
2025-12-14T11:02:20,96.87,5177.64,0.00,0.00,1.59,3.55
2025-12-14T11:02:21,97.48,5177.36,0.00,7.12,1.11,2.38
2025-12-14T11:02:22,97.15,5177.11,0.00,0.00,0.97,0.36
2025-12-14T11:02:23,96.85,5176.59,0.00,0.00,1.27,2.09
2025-12-14T11:02:24,95.58,5176.23,0.00,123.29,1.26,2.03
2025-12-14T11:02:25,97.00,5176.41,0.00,7.17,1.17,2.05
2025-12-14T11:02:27,97.41,5176.66,0.00,0.00,1.24,1.56
2025-12-14T11:02:28,96.61,5176.52,0.00,0.00,1.23,1.90
2025-12-14T11:02:29,96.64,5176.05,0.00,110.57,1.71,3.54
2025-12-14T11:02:30,96.37,5175.32,0.00,21.24,1.18,2.02
2025-12-14T11:02:31,97.00,5174.73,0.00,0.00,1.03,2.12
2025-12-14T11:02:33,96.17,5174.10,0.00,0.00,1.01,2.08
2025-12-14T11:02:34,96.18,5173.75,0.00,210.90,1.38,2.13
2025-12-14T11:02:35,96.96,5174.12,0.00,13.46,1.83,1.87
2025-12-14T11:02:36,97.29,5174.12,0.00,14.10,0.87,0.18
2025-12-14T11:02:37,96.80,5173.89,0.00,186.21,1.25,1.99
2025-12-14T11:02:38,97.65,5173.89,0.00,0.00,1.27,1.69
2025-12-14T11:02:40,97.21,5173.89,0.00,108.70,0.99,2.01
2025-12-14T11:02:41,96.15,5173.91,0.00,21.15,1.07,1.96
2025-12-14T11:02:42,97.25,5173.91,0.00,35.21,1.16,2.01
2025-12-14T11:02:43,97.04,5173.91,0.00,0.00,0.86,0.24
2025-12-14T11:02:44,96.68,5173.91,0.00,0.00,1.76,1.93
2025-12-14T11:02:45,96.80,5173.68,0.00,119.82,1.17,2.08
2025-12-14T11:02:46,97.72,5173.44,0.00,7.11,1.02,1.97
2025-12-14T11:02:48,96.83,5172.60,0.00,7.09,0.82,0.24
2025-12-14T11:02:49,96.81,5172.85,0.00,28.22,1.26,1.96
2025-12-14T11:02:50,96.39,5173.21,0.00,105.91,0.96,1.96
2025-12-14T11:02:51,97.08,5173.36,0.00,7.03,0.21,0.13
2025-12-14T11:02:52,97.49,5173.46,0.00,6.50,0.90,1.80
2025-12-14T11:02:53,97.03,5173.46,0.00,28.55,0.99,1.98
2025-12-14T11:02:55,98.08,5173.47,0.00,0.00,0.53,0.16
2025-12-14T11:02:56,96.80,5173.48,0.00,107.24,0.97,2.03
2025-12-14T11:02:57,96.37,5173.48,0.00,7.05,1.46,2.01
2025-12-14T11:02:58,97.05,5173.48,0.00,0.00,0.32,0.24
2025-12-14T11:02:59,97.05,5173.49,0.00,35.37,0.96,2.04
2025-12-14T11:03:00,97.11,5173.49,0.00,103.06,0.99,1.83
2025-12-14T11:03:02,97.25,5173.51,0.00,0.00,0.22,0.26
2025-12-14T11:03:03,97.04,5173.51,0.00,14.20,1.14,1.91
2025-12-14T11:03:04,96.40,5173.51,0.00,0.00,1.76,1.95
2025-12-14T11:03:05,96.42,5173.52,0.00,35.00,0.27,0.12
2025-12-14T11:03:06,97.05,5173.52,0.00,109.20,0.84,1.59
2025-12-14T11:03:07,96.60,5173.53,0.00,7.09,2.64,0.18
2025-12-14T11:03:09,96.89,5173.53,0.00,0.00,20.42,1.79
2025-12-14T11:03:10,96.99,5174.63,0.00,0.00,2.38,0.32
2025-12-14T11:03:11,96.21,5175.57,0.00,187.34,1.87,2.03
2025-12-14T11:03:12,96.72,5175.44,0.00,0.00,1.65,1.88
2025-12-14T11:03:13,97.14,5175.94,0.00,6.83,0.64,0.23
2025-12-14T11:03:14,97.44,5176.23,0.00,14.48,1.14,1.95
2025-12-14T11:03:16,97.33,5176.73,0.00,111.01,0.34,0.26
2025-12-14T11:03:17,96.61,5175.82,0.00,35.21,1.12,1.90
2025-12-14T11:03:18,97.05,5175.97,0.00,0.00,0.60,0.18
2025-12-14T11:03:19,97.55,5176.56,0.00,0.00,0.89,1.86
2025-12-14T11:03:20,97.14,5176.96,0.00,6.85,0.26,0.18
2025-12-14T11:03:21,96.82,5177.01,0.00,105.63,0.95,2.01
2025-12-14T11:03:23,97.45,5177.21,0.00,24.67,0.28,0.16
2025-12-14T11:03:24,97.84,5177.46,0.00,0.00,1.16,1.75
2025-12-14T11:03:25,97.22,5177.47,0.00,0.00,0.53,0.23
2025-12-14T11:03:26,96.99,5177.09,0.00,122.63,1.16,2.05
2025-12-14T11:03:27,97.03,5177.34,0.00,0.00,1.98,0.18
2025-12-14T11:03:28,96.36,5177.34,0.00,40.03,2.90,1.90
2025-12-14T11:03:30,97.29,5177.50,0.00,0.00,1.18,0.23
2025-12-14T11:03:31,96.77,5178.00,0.00,129.61,1.28,2.00
2025-12-14T11:03:32,97.36,5178.79,0.00,0.00,0.53,0.11
2025-12-14T11:03:33,97.07,5180.23,0.00,13.88,1.09,2.00
2025-12-14T11:03:34,97.20,5179.84,0.00,6.75,0.92,0.12
2025-12-14T11:03:35,96.83,5180.48,0.00,181.98,0.95,1.94
2025-12-14T11:03:37,97.37,5180.84,0.00,0.00,0.39,0.11
2025-12-14T11:03:38,96.58,5179.86,0.00,7.04,1.36,2.08
2025-12-14T11:03:39,96.84,5179.52,0.00,0.00,0.52,0.18
2025-12-14T11:03:40,96.75,5179.56,0.00,86.33,0.98,2.05
2025-12-14T11:03:41,96.93,5179.13,0.00,109.22,0.35,0.22
2025-12-14T11:03:42,96.83,5179.04,0.00,0.00,1.55,1.89
2025-12-14T11:03:44,97.25,5178.66,0.00,0.00,0.21,0.13
2025-12-14T11:03:45,96.63,5178.17,0.00,0.00,1.16,0.13
2025-12-14T11:03:46,97.00,5177.95,0.00,92.28,2.60,1.97
2025-12-14T11:03:47,97.28,5177.96,0.00,28.24,0.29,0.13
2025-12-14T11:03:48,97.47,5177.72,0.00,0.00,1.53,1.99
2025-12-14T11:03:49,97.05,5177.72,0.00,0.00,0.91,0.13
2025-12-14T11:03:50,97.20,5177.72,0.00,115.32,1.66,2.05
2025-12-14T11:03:51,97.02,5177.49,0.00,14.20,1.49,0.18
2025-12-14T11:03:53,97.03,5177.49,0.00,0.00,3.24,0.31
2025-12-14T11:03:54,96.89,5177.50,0.00,27.35,5.52,1.97
2025-12-14T11:03:55,96.78,5177.50,0.00,0.00,4.00,0.45
2025-12-14T11:03:56,96.65,5177.51,0.00,124.25,2.62,1.97
2025-12-14T11:03:57,97.10,5177.53,0.00,6.93,1.13,0.12
2025-12-14T11:03:58,96.82,5177.53,0.00,42.29,0.63,0.18
2025-12-14T11:03:59,96.39,5177.53,0.00,0.00,1.19,1.97
2025-12-14T11:04:01,97.03,5177.53,0.00,106.29,0.32,0.18
2025-12-14T11:04:02,97.19,5177.54,0.00,6.25,3.20,1.68
2025-12-14T11:04:03,96.61,5177.54,0.00,7.00,1.28,0.12
2025-12-14T11:04:04,97.28,5177.55,0.00,0.00,0.80,0.23
2025-12-14T11:04:05,96.90,5177.55,0.00,116.64,2.02,1.95
2025-12-14T11:04:07,97.35,5177.56,0.00,0.00,0.26,0.17
2025-12-14T11:04:08,96.37,5177.56,0.00,7.05,1.90,2.01
2025-12-14T11:04:09,97.24,5177.71,0.00,7.12,0.66,0.18
2025-12-14T11:04:10,97.03,5177.81,0.00,28.55,1.05,0.18
2025-12-14T11:04:11,96.85,5178.07,0.00,194.61,2.37,1.87
2025-12-14T11:04:12,97.68,5178.51,0.00,0.00,1.66,0.17
2025-12-14T11:04:13,96.36,5178.23,0.00,7.04,1.67,1.90
2025-12-14T11:04:15,96.89,5178.09,0.00,6.50,0.38,0.12
2025-12-14T11:04:16,96.68,5177.75,0.00,94.83,0.91,0.18
2025-12-14T11:04:17,97.07,5178.25,0.00,21.11,1.17,1.95
2025-12-14T11:04:18,96.94,5178.26,0.00,81.22,1.25,0.50
2025-12-14T11:04:19,96.80,5178.55,0.00,14.12,1.37,1.95
2025-12-14T11:04:20,97.02,5178.52,0.00,14.26,0.43,0.18
2025-12-14T11:04:22,97.00,5178.52,0.00,0.00,1.22,0.22
2025-12-14T11:04:23,97.08,5178.38,0.00,20.89,2.42,2.19
2025-12-14T11:04:24,96.61,5178.53,0.00,112.78,0.27,0.18
2025-12-14T11:04:25,96.83,5179.03,0.00,7.02,0.27,0.18
2025-12-14T11:04:26,97.24,5179.67,0.00,14.35,1.04,1.93
2025-12-14T11:04:27,96.86,5180.02,0.00,20.94,0.41,0.18
2025-12-14T11:04:28,97.07,5179.88,0.00,0.00,0.74,0.12
2025-12-14T11:04:30,96.98,5179.88,0.00,100.45,3.17,2.01
2025-12-14T11:04:31,96.88,5179.79,0.00,13.78,1.83,0.35
2025-12-14T11:04:32,96.38,5180.04,0.00,7.04,2.08,0.44
2025-12-14T11:04:33,97.05,5180.05,0.00,0.00,1.34,1.96
2025-12-14T11:04:34,96.84,5180.16,0.00,0.00,0.76,0.22
2025-12-14T11:04:35,97.22,5180.16,0.00,145.82,0.92,1.83
2025-12-14T11:04:37,96.82,5180.31,0.00,7.04,0.65,0.25
2025-12-14T11:04:38,96.59,5180.31,0.00,14.22,0.32,0.31
2025-12-14T11:04:39,96.61,5179.97,0.00,0.00,0.97,1.95
2025-12-14T11:04:40,97.22,5180.33,0.00,143.37,1.21,0.26
2025-12-14T11:04:41,97.01,5179.95,0.00,28.60,0.27,0.19
2025-12-14T11:04:42,97.33,5179.75,0.00,0.00,2.23,1.66
