timestamp,cpu_idle_pct,ram_available_mb,disk_read_kbs,disk_write_kbs,net_rx_kbs,net_tx_kbs
2025-12-14T14:01:10,99.01,5234.56,0.00,0.00,3.26,0.00
2025-12-14T14:01:11,98.32,5233.33,0.00,0.00,0.63,0.14
2025-12-14T14:01:12,98.81,5232.26,0.00,0.00,0.64,0.13
2025-12-14T14:01:13,98.33,5230.88,0.00,0.00,2.67,0.42
2025-12-14T14:01:14,97.97,5229.90,0.00,206.29,0.43,0.11
2025-12-14T14:01:16,98.86,5230.07,0.00,0.00,0.64,0.13
2025-12-14T14:01:17,98.80,5230.30,0.00,0.00,0.39,0.14
2025-12-14T14:01:18,98.47,5230.41,0.00,0.00,0.53,0.12
2025-12-14T14:01:19,98.31,5230.41,0.00,93.57,0.51,0.12
2025-12-14T14:01:20,98.42,5230.41,0.00,7.14,0.51,0.13
2025-12-14T14:01:21,98.55,5230.20,0.00,0.00,4.01,0.14
2025-12-14T14:01:22,98.57,5230.20,0.00,0.00,0.23,0.14
2025-12-14T14:01:23,98.01,5230.20,0.00,0.00,0.76,0.12
2025-12-14T14:01:24,98.59,5229.72,0.00,111.42,0.22,0.13
2025-12-14T14:01:26,97.64,5229.87,0.00,22.33,0.23,0.13
2025-12-14T14:01:27,98.62,5230.11,0.00,0.00,0.48,0.13
2025-12-14T14:01:28,98.32,5230.60,0.00,0.00,0.32,0.13
2025-12-14T14:01:29,98.57,5230.46,0.00,97.65,0.56,0.13
2025-12-14T14:01:30,98.35,5230.47,0.00,0.00,1.28,0.13
2025-12-14T14:01:31,98.60,5230.23,0.00,7.28,2.10,0.13
2025-12-14T14:01:32,98.04,5230.23,0.00,0.00,0.77,0.12
2025-12-14T14:01:33,99.15,5230.24,0.00,13.42,0.47,0.17
2025-12-14T14:01:34,96.82,5230.24,0.00,668.90,0.40,0.17
2025-12-14T14:01:36,98.55,5230.01,0.00,0.00,0.34,0.19
2025-12-14T14:01:37,98.57,5230.01,0.00,7.51,1.45,0.24
2025-12-14T14:01:38,98.38,5230.01,0.00,0.00,1.02,0.18
2025-12-14T14:01:39,98.79,5230.02,0.00,136.23,1.96,0.13
2025-12-14T14:01:40,98.15,5230.02,0.00,7.29,1.36,0.13
2025-12-14T14:01:41,98.81,5229.78,0.00,0.00,0.23,0.13
2025-12-14T14:01:42,98.56,5229.78,0.00,7.53,0.32,0.13
2025-12-14T14:01:43,98.33,5229.78,0.00,0.00,0.50,0.13
2025-12-14T14:01:44,98.07,5229.43,0.00,204.35,1.03,0.13
2025-12-14T14:01:45,98.50,5229.00,0.00,13.52,0.45,0.12
2025-12-14T14:01:46,98.86,5228.46,0.00,0.00,0.44,0.13
2025-12-14T14:01:47,98.57,5228.96,0.00,7.56,0.38,0.13
2025-12-14T14:01:49,98.03,5229.21,0.00,0.00,0.51,0.12
2025-12-14T14:01:50,98.21,5229.45,0.00,98.59,1.79,0.13
2025-12-14T14:01:51,98.32,5229.71,0.00,0.00,1.00,0.14
2025-12-14T14:01:52,98.31,5229.96,0.00,0.00,1.36,0.22
