timestamp,cpu_idle_pct,ram_available_mb,disk_read_kbs,disk_write_kbs,net_rx_kbs,net_tx_kbs
2025-12-15T01:56:58,98.80,5220.18,0.00,0.00,0.12,0.00
2025-12-15T01:56:59,97.24,5218.70,0.00,0.00,0.19,0.13
2025-12-15T01:57:00,96.15,5216.98,0.00,141.34,0.54,0.81
2025-12-15T01:57:01,95.39,5212.28,2180.53,0.00,0.71,0.59
2025-12-15T01:57:03,95.89,5210.56,0.00,497.34,0.24,0.13
2025-12-15T01:57:04,96.77,5208.84,0.00,0.00,0.52,0.82
2025-12-15T01:57:05,97.00,5207.27,0.00,0.00,0.61,0.36
2025-12-15T01:57:06,82.06,5188.57,23548.50,423.28,1.37,5.58
2025-12-15T01:57:07,89.78,4917.63,7.01,7.01,0.29,0.46
2025-12-15T01:57:08,92.76,4914.46,2809.16,13.57,0.17,0.69
2025-12-15T01:57:09,70.55,4908.84,100.76,0.00,0.05,21.91
2025-12-15T01:57:11,75.12,4908.40,0.00,627.45,0.05,0.39
2025-12-15T01:57:12,77.64,4908.41,0.00,21.51,0.38,0.74
2025-12-15T01:57:13,72.48,4908.16,70.98,0.00,0.40,17.67
2025-12-15T01:57:14,79.77,4908.16,0.00,141.71,0.05,0.37
2025-12-15T01:57:15,78.34,4908.16,0.00,0.00,0.40,0.81
2025-12-15T01:57:16,74.43,4907.92,0.00,122.08,0.11,18.76
2025-12-15T01:57:17,78.12,4907.98,0.00,7.21,0.13,1.19
2025-12-15T01:57:19,77.89,4907.24,0.00,0.00,0.11,0.36
2025-12-15T01:57:20,71.50,4906.26,0.00,56.44,0.10,29.66
2025-12-15T01:57:21,71.70,4906.68,0.00,152.25,0.10,7.38
2025-12-15T01:57:22,75.99,4907.08,0.00,0.00,0.05,0.31
2025-12-15T01:57:23,73.65,4906.84,0.00,0.00,0.05,15.59
2025-12-15T01:57:24,73.77,4906.17,0.00,0.00,0.46,3.77
2025-12-15T01:57:25,75.12,4906.44,0.00,189.64,0.56,0.76
2025-12-15T01:57:27,73.54,4906.20,0.00,6.75,0.20,10.32
2025-12-15T01:57:28,96.00,4906.70,0.00,0.00,0.10,0.36
