timestamp,cpu_idle_pct,ram_available_mb,disk_read_kbs,disk_write_kbs,net_rx_kbs,net_tx_kbs
2025-12-15T01:37:52,98.23,5227.27,0.00,0.00,0.11,0.00
2025-12-15T01:37:54,97.62,5226.68,0.00,0.00,0.10,0.12
2025-12-15T01:37:55,96.36,5225.46,0.00,133.22,0.41,0.73
2025-12-15T01:37:56,94.76,5221.29,2167.11,119.61,0.75,0.66
2025-12-15T01:37:57,96.88,5220.02,0.00,27.61,0.25,0.13
2025-12-15T01:37:58,97.16,5219.73,0.00,0.00,0.17,0.10
2025-12-15T01:38:00,96.66,5219.46,0.00,0.00,0.45,0.12
2025-12-15T01:38:01,96.24,5219.32,0.00,161.87,0.25,0.58
2025-12-15T01:38:02,96.80,5219.47,0.00,0.00,0.50,0.36
2025-12-15T01:38:03,80.14,4945.61,23493.40,858.40,1.21,5.14
2025-12-15T01:38:04,92.62,4931.56,0.00,0.00,0.14,0.39
2025-12-15T01:38:05,78.28,4920.55,2952.55,231.99,14.26,27.24
2025-12-15T01:38:07,80.00,4918.61,0.00,6.91,2.67,3.04
2025-12-15T01:38:08,94.17,4918.27,0.00,21.90,0.12,4.35
2025-12-15T01:38:09,94.80,4918.52,0.00,6.81,0.69,1.03
2025-12-15T01:38:10,96.29,4918.77,0.00,174.98,0.36,0.81
2025-12-15T01:38:12,95.73,4919.31,0.00,6.96,0.28,0.63
2025-12-15T01:38:13,96.92,4919.55,0.00,7.12,0.34,0.59
2025-12-15T01:38:14,97.07,4920.00,0.00,14.43,0.23,0.49
