timestamp,cpu_idle_pct,ram_available_mb,disk_read_kbs,disk_write_kbs,net_rx_kbs,net_tx_kbs
2025-12-15T02:08:03,98.07,5224.32,0.00,149.46,0.00,0.00
2025-12-15T02:08:04,95.16,5220.84,2178.60,0.00,0.28,0.36
2025-12-15T02:08:05,96.62,5219.36,0.00,0.00,0.10,0.13
2025-12-15T02:08:06,97.04,5217.64,0.00,0.00,0.10,0.13
2025-12-15T02:08:07,96.34,5215.67,0.00,28.50,0.69,0.74
2025-12-15T02:08:08,83.68,5192.75,17106.83,357.27,1.52,4.65
2025-12-15T02:08:09,88.73,4920.78,6424.35,0.00,0.26,0.65
2025-12-15T02:08:11,95.80,4919.06,0.00,0.00,0.29,0.54
2025-12-15T02:08:12,36.70,4909.43,4322.08,0.00,6.09,687.09
2025-12-15T02:08:13,56.62,4908.08,206.45,251.61,1.11,106.75
2025-12-15T02:08:14,70.14,4907.64,0.00,1114.11,0.13,27.25
2025-12-15T02:08:15,68.96,4907.15,0.00,0.00,0.54,68.50
2025-12-15T02:08:16,67.59,4906.96,444.06,0.00,0.05,124.37
2025-12-15T02:08:17,67.30,4906.55,458.37,7.16,2.18,261.43
2025-12-15T02:08:19,65.40,4906.62,683.88,121.10,0.99,356.25
2025-12-15T02:08:20,67.78,4906.62,456.33,7.13,0.10,254.90
2025-12-15T02:08:21,68.24,4906.31,227.35,0.00,0.16,150.10
2025-12-15T02:08:22,68.01,4906.50,229.39,0.00,0.11,63.01
2025-12-15T02:08:23,69.10,4906.16,0.00,7.19,0.47,79.88
2025-12-15T02:08:24,65.77,4905.15,672.50,126.09,0.29,302.09
2025-12-15T02:08:25,65.13,4905.65,644.84,0.00,0.28,293.70
2025-12-15T02:08:26,67.22,4905.71,453.10,0.00,0.05,271.26
2025-12-15T02:08:28,67.53,4905.56,451.10,7.05,0.10,179.84
2025-12-15T02:08:29,68.40,4905.81,228.57,92.86,0.30,62.73
2025-12-15T02:08:30,67.76,4905.70,0.00,7.18,0.11,24.62
2025-12-15T02:08:31,67.37,4906.55,224.17,0.00,0.05,159.27
2025-12-15T02:08:32,66.11,4907.34,688.17,0.00,0.11,313.53
2025-12-15T02:08:33,66.02,4907.73,457.55,357.46,0.05,301.09
2025-12-15T02:08:34,66.04,4908.09,681.46,0.00,0.29,278.00
2025-12-15T02:08:35,66.43,4907.97,458.78,121.86,0.11,176.68
2025-12-15T02:08:37,41.90,4909.77,3440.86,0.00,5.03,1991.31
2025-12-15T02:08:38,26.29,4909.37,644.30,328.86,9.13,649.87
2025-12-15T02:08:39,70.21,4909.03,0.00,0.00,0.10,9.49
2025-12-15T02:08:40,70.21,4908.30,0.00,0.00,0.18,1.85
2025-12-15T02:08:41,68.09,4907.44,228.98,393.56,0.05,13.85
2025-12-15T02:08:42,66.90,4906.76,0.00,7.05,0.10,12.48
2025-12-15T02:08:43,60.33,4905.16,2037.14,183.91,0.16,1063.46
2025-12-15T02:08:45,55.15,4904.02,444.83,0.00,1.43,316.46
2025-12-15T02:08:46,68.56,4902.95,0.00,14348.98,0.05,13.12
2025-12-15T02:08:47,68.22,4901.39,0.00,121.00,0.10,5.61
2025-12-15T02:08:48,70.71,4900.82,0.00,7.17,0.05,1.88
2025-12-15T02:08:49,66.59,4900.82,231.05,0.00,0.05,33.08
2025-12-15T02:08:50,58.13,4902.69,3949.18,65.34,0.11,2207.15
2025-12-15T02:08:51,47.06,4902.95,4751.06,0.00,0.10,2296.41
2025-12-15T02:08:52,84.71,4906.59,0.00,128.69,0.21,69.99
2025-12-15T02:08:54,95.51,4906.46,0.00,0.00,1.06,1.31
2025-12-15T02:08:55,95.86,4906.24,0.00,0.00,1.75,2.00
