timestamp,cpu_idle_pct,ram_available_mb,disk_read_kbs,disk_write_kbs,net_rx_kbs,net_tx_kbs
2025-12-15T02:27:54,99.01,5231.50,0.00,277.23,0.00,0.00
2025-12-15T02:27:55,98.59,5231.27,0.00,0.00,0.48,0.13
2025-12-15T02:27:56,98.81,5230.29,0.00,0.00,0.06,0.13
2025-12-15T02:27:58,98.82,5229.05,0.00,0.00,0.05,0.13
2025-12-15T02:27:59,98.56,5227.34,0.00,15.21,0.06,0.14
2025-12-15T02:28:00,98.41,5226.11,0.00,50.50,0.05,0.13
2025-12-15T02:28:01,98.08,5224.15,0.00,577.40,0.06,0.14
2025-12-15T02:28:02,98.82,5222.92,0.00,0.00,0.73,0.46
2025-12-15T02:28:03,99.04,5221.94,0.00,0.00,0.16,0.24
2025-12-15T02:28:04,99.04,5219.97,0.00,158.34,0.06,0.13
2025-12-15T02:28:05,98.81,5218.75,0.00,120.75,0.54,0.13
2025-12-15T02:28:06,98.82,5217.04,0.00,0.00,0.16,0.13
2025-12-15T02:28:07,98.60,5215.56,0.00,0.00,0.11,0.19
2025-12-15T02:28:08,98.80,5213.84,0.00,0.00,0.18,0.27
2025-12-15T02:28:09,98.86,5213.03,0.00,107.33,0.16,0.18
2025-12-15T02:28:10,84.77,5211.68,0.00,7.54,0.68,2.48
2025-12-15T02:28:11,98.80,5210.70,0.00,0.00,0.36,0.37
2025-12-15T02:28:13,98.59,5209.61,0.00,7.39,0.30,0.46
2025-12-15T02:28:14,98.56,5209.12,0.00,0.00,0.80,0.47
2025-12-15T02:28:15,96.85,5209.37,15.17,265.40,0.28,0.30
2025-12-15T02:28:16,98.82,5209.29,0.00,794.06,0.00,0.00
2025-12-15T02:28:17,97.37,5208.95,15.11,0.00,1.61,1.11
2025-12-15T02:28:18,98.56,5208.66,0.00,0.00,0.30,0.52
2025-12-15T02:28:19,98.80,5208.71,0.00,0.00,0.45,0.53
2025-12-15T02:28:20,98.35,5208.82,0.00,163.27,0.10,0.12
2025-12-15T02:28:21,98.93,5208.67,0.00,0.00,0.10,0.12
2025-12-15T02:28:22,98.57,5208.83,0.00,15.07,1.61,0.77
2025-12-15T02:28:23,98.80,5208.63,0.00,0.00,0.06,0.14
2025-12-15T02:28:24,98.57,5208.88,0.00,179.78,0.69,0.13
2025-12-15T02:28:26,98.80,5208.85,0.00,7.58,1.57,0.14
2025-12-15T02:28:27,98.80,5209.49,0.00,0.00,0.74,0.70
2025-12-15T02:28:28,97.59,5208.82,2333.33,0.00,0.94,0.80
2025-12-15T02:28:29,99.04,5209.26,0.00,0.00,0.06,0.13
2025-12-15T02:28:30,97.62,5209.13,0.00,332.70,0.33,0.79
2025-12-15T02:28:31,90.62,4929.75,25011.24,7.49,1.56,5.89
2025-12-15T02:28:32,98.01,4924.57,0.00,0.00,0.06,0.34
2025-12-15T02:28:33,98.76,4924.08,0.00,22.77,0.06,0.49
2025-12-15T02:28:34,94.01,4915.18,3144.72,0.00,0.46,1.64
2025-12-15T02:28:36,98.77,4915.09,0.00,165.75,0.07,0.50
2025-12-15T02:28:37,97.95,4915.10,0.00,4.50,0.10,0.32
2025-12-15T02:28:39,98.09,4915.10,0.00,0.00,0.05,0.28
2025-12-15T02:28:40,99.04,4914.63,0.00,192.11,0.10,0.40
2025-12-15T02:28:41,96.64,4913.90,0.00,7.39,2.36,2.73
2025-12-15T02:28:43,78.04,4913.90,0.00,7.04,0.10,0.66
2025-12-15T02:28:44,76.96,4913.91,0.00,0.00,0.66,0.93
2025-12-15T02:28:45,77.10,4913.66,0.00,0.00,0.11,0.38
2025-12-15T02:28:46,74.82,4913.66,0.00,102.38,0.38,0.59
2025-12-15T02:28:47,77.39,4913.67,0.00,6.92,0.31,0.56
2025-12-15T02:28:48,76.49,4913.18,0.00,524.95,0.05,0.32
2025-12-15T02:28:49,77.49,4912.20,0.00,0.00,0.05,0.28
2025-12-15T02:28:51,78.36,4910.48,0.00,5.86,0.29,0.45
2025-12-15T02:28:52,76.04,4909.98,0.00,103.45,0.10,0.35
2025-12-15T02:28:53,80.26,4909.75,0.00,0.00,0.92,1.18
2025-12-15T02:28:54,77.50,4909.75,0.00,7.33,0.05,0.31
2025-12-15T02:28:55,77.61,4909.75,0.00,0.00,0.05,0.49
2025-12-15T02:28:56,79.84,4910.20,0.00,14.90,0.49,0.92
2025-12-15T02:28:57,80.05,4910.00,0.00,0.00,0.05,0.32
2025-12-15T02:28:58,61.87,4910.13,239.25,373.83,0.11,221.09
2025-12-15T02:28:59,98.51,4910.26,0.00,239.03,0.26,0.54
2025-12-15T02:29:00,98.75,4910.27,0.00,7.56,0.06,0.32
2025-12-15T02:29:02,98.07,4910.57,0.00,0.00,0.90,1.17
2025-12-15T02:29:03,98.29,4911.16,0.00,0.00,1.84,2.10
