timestamp,cpu_idle_pct,ram_available_mb,disk_read_kbs,disk_write_kbs,net_rx_kbs,net_tx_kbs
2025-12-15T02:21:50,98.79,5223.46,0.00,0.00,0.06,0.00
2025-12-15T02:21:51,97.38,5221.99,0.00,102.43,0.14,0.13
2025-12-15T02:21:53,95.96,5220.27,0.00,0.00,0.36,0.77
2025-12-15T02:21:54,94.88,5215.93,2118.66,0.00,0.81,0.75
2025-12-15T02:21:55,96.21,5214.56,0.00,27.63,0.13,0.17
2025-12-15T02:21:56,96.38,5212.61,0.00,191.58,0.24,0.74
2025-12-15T02:21:57,92.29,5207.41,16232.09,384.41,0.91,0.72
2025-12-15T02:21:58,82.96,4916.51,7774.05,0.00,1.19,5.58
2025-12-15T02:22:00,96.54,4916.02,0.00,0.00,0.13,0.38
2025-12-15T02:22:01,93.82,4913.56,2920.63,211.64,0.23,0.89
2025-12-15T02:22:02,54.89,4907.44,650.68,506.85,0.21,199.05
2025-12-15T02:22:03,58.38,4905.75,222.22,27.78,0.13,219.68
2025-12-15T02:22:04,59.59,4903.64,219.74,418.88,0.05,192.12
2025-12-15T02:22:05,66.83,4902.80,0.00,192.00,0.14,39.90
2025-12-15T02:22:06,64.36,4902.61,0.00,7.05,0.05,72.70
2025-12-15T02:22:08,63.21,4902.54,224.56,0.00,0.14,167.72
2025-12-15T02:22:09,61.84,4902.73,218.24,0.00,0.05,192.39
2025-12-15T02:22:10,65.44,4902.76,228.57,0.00,0.20,190.48
2025-12-15T02:22:11,68.67,4901.14,228.98,107.33,0.58,133.21
2025-12-15T02:22:12,57.11,4901.03,226.75,7.09,0.05,242.49
2025-12-15T02:22:13,73.00,4901.31,0.00,0.00,0.10,34.49
2025-12-15T02:22:14,71.97,4901.32,0.00,0.00,0.10,26.48
2025-12-15T02:22:15,78.33,4901.49,0.00,100.72,0.11,17.08
2025-12-15T02:22:17,74.18,4901.77,213.51,0.00,0.15,54.74
2025-12-15T02:22:18,76.65,4901.90,0.00,7.04,0.10,18.01
2025-12-15T02:22:19,77.52,4902.31,0.00,0.00,0.05,2.38
2025-12-15T02:22:20,76.00,4901.83,0.00,0.00,0.10,1.03
2025-12-15T02:22:21,76.79,4902.32,0.00,438.94,0.10,45.85
2025-12-15T02:22:22,62.22,4902.40,223.19,6.97,0.87,168.13
2025-12-15T02:22:23,72.02,4902.35,0.00,7.12,1.39,28.73
2025-12-15T02:22:25,76.41,4902.71,0.00,0.00,0.05,71.01
2025-12-15T02:22:26,74.94,4903.66,228.37,121.32,0.05,94.37
2025-12-15T02:22:27,76.15,4903.59,0.00,0.00,0.05,48.53
2025-12-15T02:22:28,72.46,4903.62,0.00,0.00,0.10,49.70
2025-12-15T02:22:29,74.87,4903.25,0.00,7.25,0.11,54.71
2025-12-15T02:22:30,74.81,4903.43,229.39,0.00,0.27,48.04
2025-12-15T02:22:31,63.41,4903.59,229.39,129.03,0.50,178.91
2025-12-15T02:22:32,80.37,4903.62,0.00,0.00,0.05,9.13
2025-12-15T02:22:34,78.72,4903.73,0.00,0.00,0.24,0.80
2025-12-15T02:22:35,79.27,4903.73,0.00,2549.37,0.05,1.74
2025-12-15T02:22:36,78.41,4903.75,0.00,7.23,0.05,1.57
2025-12-15T02:22:37,77.47,4903.90,0.00,108.01,0.05,2.86
2025-12-15T02:22:38,77.69,4904.19,0.00,0.00,0.10,27.82
2025-12-15T02:22:39,78.65,4904.70,0.00,0.00,0.05,37.68
2025-12-15T02:22:40,71.67,4904.43,0.00,7.16,0.05,72.31
2025-12-15T02:22:41,57.21,4904.75,229.39,7.17,0.27,192.09
2025-12-15T02:22:42,76.56,4903.84,0.00,98.50,0.05,14.46
2025-12-15T02:22:44,73.40,4903.55,0.00,0.00,0.10,8.95
2025-12-15T02:22:45,77.14,4903.07,0.00,0.00,0.10,5.56
2025-12-15T02:22:46,77.95,4902.88,0.00,14.41,0.11,7.60
2025-12-15T02:22:47,76.00,4902.75,229.39,0.00,0.11,12.25
2025-12-15T02:22:48,74.63,4902.76,0.00,86.10,0.11,23.93
2025-12-15T02:22:49,71.64,4902.77,0.00,0.00,0.10,48.58
2025-12-15T02:22:50,72.95,4902.96,0.00,7.12,0.05,47.11
2025-12-15T02:22:52,52.77,4902.87,220.31,6.88,0.15,187.13
2025-12-15T02:22:53,74.81,4902.84,0.00,0.00,0.11,19.57
2025-12-15T02:22:54,74.08,4902.84,0.00,86.41,0.12,9.41
2025-12-15T02:22:55,79.24,4902.87,0.00,0.00,0.05,1.87
2025-12-15T02:22:56,77.33,4902.87,0.00,7.20,0.05,0.31
2025-12-15T02:22:57,78.77,4902.87,0.00,57.71,0.05,0.31
2025-12-15T02:22:58,75.76,4902.87,0.00,812.72,10.32,11.98
2025-12-15T02:22:59,79.08,4902.87,0.00,0.00,0.94,1.21
