timestamp,cpu_idle_pct,ram_available_mb,disk_read_kbs,disk_write_kbs,net_rx_kbs,net_tx_kbs
2025-12-15T02:15:56,98.56,5233.29,0.00,0.00,0.06,0.06
2025-12-15T02:15:57,97.40,5232.55,0.00,0.00,0.49,0.12
2025-12-15T02:15:58,97.05,5231.57,0.00,0.00,0.10,0.13
2025-12-15T02:16:00,96.62,5230.10,0.00,0.00,0.31,0.61
2025-12-15T02:16:01,94.68,5226.60,2165.20,288.22,0.95,0.82
2025-12-15T02:16:02,97.07,5225.86,0.00,0.00,0.05,0.13
2025-12-15T02:16:03,97.02,5225.37,0.00,0.00,0.63,0.13
2025-12-15T02:16:04,96.36,5224.92,0.00,0.00,4.01,0.80
2025-12-15T02:16:05,95.29,5224.85,5254.05,194.59,1.58,0.60
2025-12-15T02:16:06,80.25,4932.24,18283.71,490.37,0.87,4.98
2025-12-15T02:16:07,96.64,4931.51,0.00,0.00,0.10,0.37
2025-12-15T02:16:09,82.77,4921.94,3139.33,0.00,0.18,43.07
2025-12-15T02:16:10,51.24,4920.12,438.36,0.00,0.30,230.44
2025-12-15T02:16:11,50.72,4917.78,212.80,532.00,0.23,224.48
2025-12-15T02:16:12,56.31,4915.73,210.87,6.59,0.29,169.57
2025-12-15T02:16:13,76.87,4915.39,0.00,312.33,0.05,0.32
2025-12-15T02:16:15,79.29,4915.39,0.00,0.00,0.04,0.25
2025-12-15T02:16:16,75.73,4915.55,0.00,406.30,0.05,0.30
2025-12-15T02:16:17,75.12,4916.29,0.00,525.65,0.11,0.47
2025-12-15T02:16:18,75.12,4916.79,0.00,6.99,0.05,0.45
2025-12-15T02:16:19,78.66,4916.89,0.00,0.00,0.05,0.31
2025-12-15T02:16:20,75.06,4917.29,0.00,114.39,1.02,1.27
2025-12-15T02:16:21,75.69,4917.79,0.00,7.16,1.51,1.77
2025-12-15T02:16:23,74.40,4918.28,0.00,0.00,0.29,0.70
2025-12-15T02:16:24,74.63,4917.55,0.00,7.10,0.10,0.46
2025-12-15T02:16:25,75.50,4917.35,0.00,0.00,0.11,0.47
2025-12-15T02:16:26,73.77,4916.67,0.00,115.21,0.30,0.66
2025-12-15T02:16:27,62.11,4917.22,228.78,0.00,0.05,125.20
2025-12-15T02:16:28,73.63,4916.91,0.00,0.00,0.51,1.01
2025-12-15T02:16:29,71.88,4916.17,0.00,14.23,0.18,8.61
2025-12-15T02:16:30,74.39,4915.58,0.00,7.15,0.10,4.19
2025-12-15T02:16:32,73.32,4915.44,0.00,113.98,0.05,6.06
2025-12-15T02:16:33,73.59,4914.61,0.00,170.67,0.05,11.34
2025-12-15T02:16:34,72.17,4914.23,0.00,0.00,0.24,22.77
2025-12-15T02:16:35,71.25,4914.24,0.00,7.18,0.47,44.21
2025-12-15T02:16:36,69.81,4914.01,230.84,7.21,0.52,44.46
2025-12-15T02:16:37,71.71,4914.15,0.00,0.00,0.11,44.04
2025-12-15T02:16:38,72.48,4914.21,0.00,100.99,0.11,23.72
2025-12-15T02:16:39,75.94,4913.65,0.00,0.00,0.05,0.47
2025-12-15T02:16:40,74.69,4913.80,0.00,14.40,0.05,0.47
2025-12-15T02:16:42,68.48,4913.07,592.86,0.00,1.23,115.94
2025-12-15T02:16:43,71.14,4913.25,0.00,98.33,0.25,37.34
2025-12-15T02:16:44,76.90,4913.30,0.00,0.00,0.05,0.30
2025-12-15T02:16:45,75.87,4913.30,0.00,0.00,0.05,0.31
2025-12-15T02:16:46,73.59,4913.70,0.00,14.41,0.05,0.31
2025-12-15T02:16:47,78.45,4914.19,0.00,63.89,0.05,0.31
2025-12-15T02:16:48,75.50,4914.97,0.00,0.00,0.05,0.31
2025-12-15T02:16:49,78.16,4915.53,0.00,89.58,0.13,0.38
2025-12-15T02:16:51,79.64,4915.53,0.00,7.20,0.05,0.47
2025-12-15T02:16:52,76.71,4916.16,0.00,43.32,0.19,8.80
2025-12-15T02:16:53,78.43,4916.41,0.00,0.00,0.10,1.66
2025-12-15T02:16:54,75.87,4916.21,0.00,93.53,0.19,8.62
2025-12-15T02:16:55,77.08,4916.78,0.00,7.11,0.57,11.59
2025-12-15T02:16:56,74.38,4916.78,0.00,0.00,0.34,22.01
2025-12-15T02:16:57,51.02,4916.81,223.39,13.96,1.49,262.36
2025-12-15T02:16:58,72.47,4917.12,230.63,0.00,1.22,88.91
2025-12-15T02:17:00,74.12,4916.98,0.00,99.82,2.55,46.14
2025-12-15T02:17:01,72.06,4916.80,14.34,7.17,0.11,23.58
2025-12-15T02:17:02,76.28,4916.58,0.00,6.75,0.13,0.62
2025-12-15T02:17:03,69.95,4916.32,238.10,6.80,4.31,463.92
2025-12-15T02:17:04,95.65,4915.89,0.00,1455.81,0.13,0.50
2025-12-15T02:17:05,95.68,4915.69,0.00,183.26,0.81,1.32
2025-12-15T02:17:07,95.80,4915.84,0.00,358.40,0.09,0.42
