timestamp,cpu_idle_pct,ram_available_mb,disk_read_kbs,disk_write_kbs,net_rx_kbs,net_tx_kbs
2025-12-15T01:50:42,98.29,5227.11,0.00,0.00,4.44,0.30
2025-12-15T01:50:44,96.93,5225.39,0.00,20.53,0.75,0.12
2025-12-15T01:50:45,96.58,5223.42,0.00,0.00,0.34,0.66
2025-12-15T01:50:46,96.81,5221.70,0.00,133.69,1.10,0.36
2025-12-15T01:50:47,94.01,5218.21,2172.84,500.88,2.13,0.51
2025-12-15T01:50:48,96.12,5216.00,0.00,0.00,2.00,0.74
2025-12-15T01:50:49,96.80,5214.52,0.00,0.00,3.07,0.52
2025-12-15T01:50:50,74.12,4934.57,23534.80,0.00,0.96,5.08
2025-12-15T01:50:51,91.82,4921.62,0.00,575.94,0.05,0.37
2025-12-15T01:50:53,95.91,4920.91,0.00,167.10,0.13,0.77
2025-12-15T01:50:54,73.98,4912.28,3356.20,0.00,0.17,108.33
2025-12-15T01:50:55,89.30,4912.08,0.00,19.69,0.05,12.52
2025-12-15T01:50:56,74.49,4911.90,0.00,7.09,0.05,35.63
2025-12-15T01:50:57,73.97,4911.42,219.18,280.82,0.05,79.09
2025-12-15T01:50:58,71.98,4911.11,0.00,437.67,0.11,45.33
2025-12-15T01:51:00,69.98,4911.16,0.00,0.00,0.11,8.39
2025-12-15T01:51:01,64.69,4910.67,0.00,0.00,0.10,104.79
2025-12-15T01:51:02,67.05,4909.74,47.74,6.82,0.10,20.86
2025-12-15T01:51:03,69.05,4908.58,0.00,412.81,3.97,14.61
2025-12-15T01:51:04,66.27,4907.52,0.00,7.07,0.57,57.32
2025-12-15T01:51:05,65.26,4907.16,0.00,13.83,0.61,76.06
2025-12-15T01:51:06,67.42,4905.89,0.00,6.71,0.40,6.07
2025-12-15T01:51:08,64.29,4906.00,0.00,122.97,0.28,62.31
2025-12-15T01:51:09,68.95,4906.07,0.00,0.00,0.18,2.04
2025-12-15T01:51:10,79.15,4906.07,0.00,7.02,0.10,5.29
2025-12-15T01:51:11,97.12,4906.32,0.00,12.66,0.22,0.44
2025-12-15T01:51:12,96.46,4906.77,0.00,0.00,0.05,0.30
