timestamp,cpu_idle_pct,ram_available_mb,disk_read_kbs,disk_write_kbs,net_rx_kbs,net_tx_kbs
2025-12-15T01:43:16,98.36,5226.09,0.00,0.00,0.11,0.00
2025-12-15T01:43:18,96.46,5224.37,0.00,0.00,0.56,0.12
2025-12-15T01:43:19,95.68,5222.64,0.00,154.79,0.23,0.47
2025-12-15T01:43:20,94.31,5217.74,2186.34,0.00,0.94,0.75
2025-12-15T01:43:21,96.98,5217.71,0.00,7.21,0.21,0.13
2025-12-15T01:43:22,96.60,5216.74,0.00,0.00,0.23,0.83
2025-12-15T01:43:23,96.58,5215.76,0.00,7.07,0.70,0.57
2025-12-15T01:43:24,95.44,5215.27,0.00,217.73,0.10,0.18
2025-12-15T01:43:26,81.78,5189.90,23027.59,6.90,0.88,4.83
2025-12-15T01:43:27,90.21,4921.10,0.00,531.52,0.29,0.49
2025-12-15T01:43:28,97.13,4920.61,0.00,0.00,0.13,0.38
2025-12-15T01:43:29,96.16,4918.88,0.00,400.68,0.12,0.36
2025-12-15T01:43:30,88.12,4911.98,2908.46,0.00,0.39,13.51
2025-12-15T01:43:31,85.49,4911.87,51.61,0.00,0.46,55.77
2025-12-15T01:43:33,97.61,4911.66,0.00,8.72,0.06,0.22
2025-12-15T01:43:34,73.64,4914.34,0.00,180.02,0.42,6.89
2025-12-15T01:43:35,95.07,4913.41,0.00,436.74,0.17,0.42
2025-12-15T01:43:37,97.28,4912.68,0.00,0.00,0.18,0.44
