timestamp,cpu_idle_pct,ram_available_mb,disk_read_kbs,disk_write_kbs,net_rx_kbs,net_tx_kbs
2025-12-15T02:33:37,99.26,5234.50,0.00,0.00,0.00,0.00
2025-12-15T02:33:38,98.79,5233.77,0.00,182.16,0.06,0.14
2025-12-15T02:33:39,98.79,5232.30,0.00,0.00,0.06,0.14
2025-12-15T02:33:40,97.61,5230.59,0.00,0.00,0.72,0.95
2025-12-15T02:33:41,97.36,5227.08,2328.92,30.25,0.58,0.55
2025-12-15T02:33:42,98.33,5225.12,0.00,0.00,0.31,0.14
2025-12-15T02:33:43,98.07,5223.65,0.00,196.23,0.59,0.79
2025-12-15T02:33:44,90.36,5199.62,21814.74,189.04,1.14,4.91
2025-12-15T02:33:45,94.19,4927.50,3384.90,0.00,0.16,0.67
2025-12-15T02:33:46,96.15,4925.53,0.00,587.02,0.26,0.53
2025-12-15T02:33:47,81.95,4916.93,3622.64,0.00,0.30,7.23
2025-12-15T02:33:48,71.67,4916.76,120.87,294.62,0.17,12.20
2025-12-15T02:33:50,72.55,4915.11,0.00,30.30,0.17,9.81
2025-12-15T02:33:51,72.26,4913.88,0.00,45.28,0.11,8.82
2025-12-15T02:33:52,72.51,4913.39,0.00,7.54,0.11,6.46
2025-12-15T02:33:53,72.26,4913.82,0.00,135.98,0.11,6.47
2025-12-15T02:33:54,72.37,4914.30,241.97,0.00,0.61,6.79
2025-12-15T02:33:55,71.84,4914.52,0.00,7.58,0.31,6.58
2025-12-15T02:33:56,72.37,4914.37,0.00,53.08,0.06,1.36
2025-12-15T02:33:57,71.98,4914.37,0.00,7.55,0.11,0.62
2025-12-15T02:33:58,72.33,4914.37,0.00,112.57,0.16,4.14
2025-12-15T02:33:59,72.37,4914.38,0.00,7.58,0.22,8.12
2025-12-15T02:34:00,71.74,4913.90,0.00,7.55,0.17,4.15
2025-12-15T02:34:01,72.79,4913.90,0.00,30.22,0.17,4.03
2025-12-15T02:34:02,72.15,4913.66,0.00,7.49,0.22,7.51
2025-12-15T02:34:03,72.37,4913.17,0.00,134.58,0.11,4.24
2025-12-15T02:34:04,72.37,4913.58,0.00,0.00,0.22,4.14
2025-12-15T02:34:05,72.62,4912.95,0.00,0.00,0.17,4.14
2025-12-15T02:34:07,72.20,4912.21,0.00,45.11,0.11,4.09
2025-12-15T02:34:08,72.44,4911.68,0.00,7.49,0.45,4.24
2025-12-15T02:34:09,72.26,4911.98,0.00,127.10,0.39,4.23
2025-12-15T02:34:10,72.30,4912.04,0.00,0.00,0.11,3.97
2025-12-15T02:34:11,72.62,4912.29,0.00,0.00,0.11,4.13
2025-12-15T02:34:12,72.20,4911.31,0.00,7.49,0.42,4.51
2025-12-15T02:34:13,72.20,4910.96,0.00,165.26,0.28,4.71
2025-12-15T02:34:14,72.09,4910.93,29.82,0.00,0.22,4.74
2025-12-15T02:34:15,72.44,4910.60,0.00,0.00,0.05,0.44
2025-12-15T02:34:16,72.13,4911.10,0.00,0.00,0.19,4.04
2025-12-15T02:34:17,72.20,4911.12,0.00,7.51,0.11,4.13
2025-12-15T02:34:18,71.57,4910.54,0.00,453.95,0.35,4.35
2025-12-15T02:34:19,72.26,4909.57,0.00,0.00,0.46,4.80
2025-12-15T02:34:20,72.40,4909.33,0.00,0.00,0.16,4.66
2025-12-15T02:34:21,72.40,4908.74,0.00,0.00,0.05,0.48
2025-12-15T02:34:23,71.84,4909.04,0.00,37.45,0.48,4.84
2025-12-15T02:34:24,71.33,4908.88,0.00,399.63,0.91,5.44
2025-12-15T02:34:25,72.26,4908.63,0.00,0.00,0.37,4.83
2025-12-15T02:34:26,72.51,4908.88,0.00,0.00,0.26,0.69
2025-12-15T02:34:27,72.37,4908.57,0.00,0.00,0.93,5.07
2025-12-15T02:34:28,71.26,4909.12,0.00,112.36,1.57,5.48
2025-12-15T02:34:29,71.91,4908.59,0.00,52.43,0.37,4.38
2025-12-15T02:34:30,72.62,4909.02,0.00,7.49,0.11,0.50
2025-12-15T02:34:31,72.44,4909.01,0.00,0.00,0.16,4.28
2025-12-15T02:34:32,72.33,4908.63,0.00,0.00,0.16,4.21
2025-12-15T02:34:33,72.13,4908.39,0.00,142.46,0.36,1.36
2025-12-15T02:34:34,72.20,4908.65,0.00,15.01,0.50,5.15
2025-12-15T02:34:35,72.02,4908.75,0.00,22.47,0.56,5.01
2025-12-15T02:34:36,72.44,4908.91,0.00,0.00,0.11,0.61
2025-12-15T02:34:38,72.33,4908.77,0.00,7.46,0.27,4.33
2025-12-15T02:34:39,72.02,4908.97,0.00,134.58,0.20,4.08
2025-12-15T02:34:40,72.62,4908.55,0.00,7.51,0.12,0.83
2025-12-15T02:34:41,72.26,4908.93,0.00,29.99,0.31,4.14
2025-12-15T02:34:42,72.02,4908.70,0.00,0.00,0.55,4.92
2025-12-15T02:34:43,72.37,4908.59,0.00,127.70,0.17,0.83
2025-12-15T02:34:44,71.84,4908.47,0.00,0.00,0.42,5.03
2025-12-15T02:34:45,72.44,4908.71,0.00,7.49,0.11,0.66
2025-12-15T02:34:46,72.73,4908.56,0.00,15.01,0.16,4.67
2025-12-15T02:34:47,72.25,4911.04,0.00,7.48,0.12,0.83
2025-12-15T02:34:48,71.74,4911.30,0.00,126.63,0.16,4.67
2025-12-15T02:34:49,71.50,4911.45,0.00,0.00,0.17,4.34
2025-12-15T02:34:50,72.46,4911.00,0.00,7.45,0.11,0.49
2025-12-15T02:34:51,72.09,4911.04,0.00,14.95,0.11,3.81
2025-12-15T02:34:52,71.74,4911.40,0.00,7.48,0.11,0.83
2025-12-15T02:34:54,71.84,4910.76,0.00,126.87,0.22,4.72
2025-12-15T02:34:55,71.67,4911.66,0.00,104.97,0.60,5.30
2025-12-15T02:34:56,72.26,4912.16,0.00,14.95,0.19,0.62
2025-12-15T02:34:57,71.67,4912.16,0.00,22.41,2.37,6.68
2025-12-15T02:34:58,70.70,4912.41,0.00,22.41,4.58,5.70
2025-12-15T02:34:59,70.98,4912.12,0.00,134.58,0.95,5.68
2025-12-15T02:35:00,72.26,4911.99,0.00,0.00,0.57,1.46
2025-12-15T02:35:01,71.43,4911.93,0.00,7.49,0.35,4.94
2025-12-15T02:35:02,72.44,4912.38,0.00,0.00,0.19,0.74
2025-12-15T02:35:03,71.67,4912.63,0.00,22.45,0.42,5.10
2025-12-15T02:35:04,71.57,4912.88,0.00,7.49,1.01,1.40
2025-12-15T02:35:05,71.84,4912.89,0.00,119.74,1.70,6.29
2025-12-15T02:35:06,72.51,4913.62,0.00,14.94,0.19,0.57
2025-12-15T02:35:07,71.67,4912.94,0.00,14.94,0.27,4.79
2025-12-15T02:35:09,72.57,4912.65,0.00,7.48,0.11,0.50
2025-12-15T02:35:10,71.50,4912.40,0.00,119.18,0.36,4.96
2025-12-15T02:35:11,72.15,4911.68,0.00,7.48,0.13,0.63
2025-12-15T02:35:12,71.74,4911.23,0.00,7.46,0.13,0.51
2025-12-15T02:35:13,72.40,4910.84,0.00,7.43,0.30,5.07
2025-12-15T02:35:14,71.57,4910.95,0.00,0.00,0.16,0.54
2025-12-15T02:35:15,71.74,4910.99,0.00,134.45,0.27,5.07
2025-12-15T02:35:16,71.81,4911.11,0.00,0.00,0.11,0.37
2025-12-15T02:35:17,72.09,4910.94,0.00,14.95,0.22,4.85
2025-12-15T02:35:18,71.98,4910.73,0.00,7.46,4.56,4.82
2025-12-15T02:35:19,71.88,4910.98,0.00,0.00,1.34,1.60
2025-12-15T02:35:20,72.02,4911.09,0.00,134.45,0.30,4.92
2025-12-15T02:35:21,71.63,4911.09,0.00,0.00,1.40,1.83
2025-12-15T02:35:22,71.84,4911.09,0.00,15.00,0.27,4.93
2025-12-15T02:35:24,71.81,4910.50,0.00,7.48,1.72,1.99
2025-12-15T02:35:25,71.91,4910.80,0.00,0.00,1.62,6.36
2025-12-15T02:35:26,71.91,4910.86,0.00,104.58,0.11,0.66
2025-12-15T02:35:27,72.26,4910.88,0.00,0.00,0.22,4.82
2025-12-15T02:35:28,72.09,4910.88,0.00,22.45,0.11,0.50
2025-12-15T02:35:29,72.55,4911.02,0.00,30.05,0.22,4.02
2025-12-15T02:35:30,72.15,4911.76,0.00,14.94,0.20,1.08
2025-12-15T02:35:31,72.15,4911.87,0.00,141.92,0.05,3.75
2025-12-15T02:35:32,71.63,4912.06,0.00,0.00,0.17,0.88
2025-12-15T02:35:33,71.98,4912.12,0.00,14.98,0.25,0.84
2025-12-15T02:35:34,71.84,4912.37,0.00,7.49,0.16,4.39
2025-12-15T02:35:35,71.98,4911.39,0.00,0.00,0.11,0.38
2025-12-15T02:35:36,72.09,4911.05,0.00,104.77,0.11,0.66
2025-12-15T02:35:37,71.84,4911.30,0.00,14.98,0.27,4.79
2025-12-15T02:35:39,71.57,4911.41,0.00,15.01,0.05,0.32
2025-12-15T02:35:40,72.33,4910.92,0.00,14.98,0.05,0.44
2025-12-15T02:35:41,71.91,4910.92,0.00,0.00,0.13,0.56
2025-12-15T02:35:42,72.51,4910.19,0.00,14.93,0.05,0.44
2025-12-15T02:35:43,71.74,4910.20,0.00,156.72,0.05,0.48
2025-12-15T02:35:44,72.26,4910.20,0.00,7.48,0.05,0.32
2025-12-15T02:35:45,71.81,4910.20,0.00,0.00,0.05,0.49
