timestamp,cpu_idle_pct,ram_available_mb,disk_read_kbs,disk_write_kbs,net_rx_kbs,net_tx_kbs
2025-12-15T02:48:19,98.79,5236.66,0.00,0.00,0.00,0.00
2025-12-15T02:48:20,98.59,5235.18,0.00,6.26,0.05,0.16
2025-12-15T02:48:21,97.61,5233.22,0.00,0.00,0.44,0.84
2025-12-15T02:48:22,97.23,5227.96,2229.86,159.28,0.77,0.74
2025-12-15T02:48:23,98.35,5226.55,0.00,491.16,0.16,0.19
2025-12-15T02:48:24,98.28,5225.56,0.00,0.00,2.05,0.68
2025-12-15T02:48:26,93.95,5216.07,17813.73,0.00,1.35,3.74
2025-12-15T02:48:27,89.78,4931.93,7322.03,346.52,0.44,2.79
2025-12-15T02:48:28,98.52,4931.45,0.00,0.00,0.19,0.47
2025-12-15T02:48:29,95.13,4922.41,3118.64,7.53,0.30,0.95
2025-12-15T02:48:30,76.57,4923.13,497.18,7.53,0.17,15.14
2025-12-15T02:48:31,77.12,4922.25,119.85,404.49,0.16,8.37
2025-12-15T02:48:32,73.27,4921.04,0.00,483.02,0.28,6.25
2025-12-15T02:48:33,73.63,4919.98,0.00,45.41,2.24,8.38
2025-12-15T02:48:34,73.38,4920.02,0.00,7.53,5.50,11.90
2025-12-15T02:48:35,74.94,4919.68,0.00,0.00,0.27,6.78
2025-12-15T02:48:36,74.62,4919.33,0.00,7.57,0.50,4.63
2025-12-15T02:48:37,76.55,4918.89,0.00,121.21,0.82,2.03
2025-12-15T02:48:38,74.87,4919.35,0.00,37.91,0.60,1.24
2025-12-15T02:48:39,75.64,4920.20,243.11,7.60,0.65,5.14
2025-12-15T02:48:40,73.27,4920.99,0.00,0.00,1.12,5.72
2025-12-15T02:48:41,74.18,4921.30,0.00,128.91,1.19,5.55
2025-12-15T02:48:42,78.01,4921.70,0.00,67.86,1.07,9.60
2025-12-15T02:48:44,82.47,4922.20,0.00,0.00,3.38,8.03
2025-12-15T02:48:45,72.44,4921.25,0.00,37.84,0.17,4.77
2025-12-15T02:48:46,71.64,4921.50,0.00,0.00,0.79,5.27
2025-12-15T02:48:47,71.74,4921.36,0.00,120.19,0.77,5.40
2025-12-15T02:48:48,71.81,4920.88,0.00,0.00,0.82,1.37
2025-12-15T02:48:49,72.06,4920.88,0.00,7.48,0.88,5.30
2025-12-15T02:48:50,71.67,4921.29,0.00,37.59,0.99,5.47
2025-12-15T02:48:51,72.30,4921.78,0.00,0.00,0.44,5.04
2025-12-15T02:48:52,71.74,4921.64,0.00,142.46,0.99,5.26
2025-12-15T02:48:53,71.60,4921.65,0.00,0.00,0.76,4.66
