timestamp,cpu_idle_pct,ram_available_mb,disk_read_kbs,disk_write_kbs,net_rx_kbs,net_tx_kbs
2025-12-15T02:40:28,99.08,5219.01,0.00,0.00,0.19,0.00
2025-12-15T02:40:29,98.80,5217.78,0.00,210.13,2.22,0.13
2025-12-15T02:40:30,97.76,5216.07,0.00,0.00,2.01,0.74
2025-12-15T02:40:31,98.57,5214.59,0.00,0.00,0.47,0.38
2025-12-15T02:40:32,97.62,5212.10,2294.23,29.80,0.77,0.65
2025-12-15T02:40:34,98.35,5210.88,0.00,667.85,0.08,0.12
2025-12-15T02:40:35,97.96,5209.16,0.00,0.00,0.53,0.89
2025-12-15T02:40:36,87.81,4916.95,25176.25,0.00,1.65,5.51
2025-12-15T02:40:37,98.76,4916.46,0.00,15.14,0.11,0.40
2025-12-15T02:40:39,98.77,4915.73,0.00,272.47,0.06,0.33
2025-12-15T02:40:40,82.94,4907.87,3545.54,307.98,0.46,4.93
2025-12-15T02:40:41,77.75,4906.15,0.00,36.63,0.72,1.80
2025-12-15T02:40:42,75.12,4904.68,0.00,0.00,0.06,0.32
2025-12-15T02:40:43,77.47,4903.45,0.00,7.46,0.05,0.32
2025-12-15T02:40:44,74.94,4903.45,0.00,684.01,0.05,2.67
2025-12-15T02:40:45,76.71,4903.45,0.00,0.00,0.81,1.08
2025-12-15T02:40:46,77.86,4903.45,0.00,0.00,0.89,1.15
2025-12-15T02:40:47,74.63,4903.45,0.00,7.58,0.80,1.01
2025-12-15T02:40:48,75.56,4903.11,0.00,7.54,0.34,3.18
2025-12-15T02:40:49,74.07,4903.24,0.00,143.53,0.06,0.32
2025-12-15T02:40:50,74.94,4902.65,0.00,0.00,0.11,0.33
2025-12-15T02:40:51,77.30,4901.98,0.00,0.00,0.26,0.69
2025-12-15T02:40:52,75.63,4901.21,0.00,7.55,0.93,1.38
2025-12-15T02:40:53,78.24,4900.76,0.00,15.04,0.17,6.36
2025-12-15T02:40:55,77.49,4900.41,0.00,126.87,0.11,0.54
2025-12-15T02:40:56,75.50,4900.24,0.00,0.00,0.11,0.53
2025-12-15T02:40:57,73.90,4900.49,0.00,0.00,0.11,0.37
2025-12-15T02:40:58,76.01,4900.00,0.00,0.00,0.05,0.80
2025-12-15T02:40:59,77.24,4900.45,0.00,104.38,0.11,0.37
2025-12-15T02:41:00,76.52,4900.60,0.00,0.00,0.11,0.65
2025-12-15T02:41:01,76.59,4900.95,0.00,0.00,1.49,1.87
2025-12-15T02:41:02,74.75,4901.34,0.00,0.00,4.61,9.18
2025-12-15T02:41:03,75.12,4901.41,0.00,0.00,0.49,0.86
2025-12-15T02:41:04,75.43,4901.48,0.00,126.51,0.05,0.43
2025-12-15T02:41:05,73.77,4901.63,0.00,0.00,0.49,0.87
2025-12-15T02:41:06,75.63,4902.12,0.00,0.00,0.83,1.42
2025-12-15T02:41:07,91.61,4905.61,0.00,14.98,1.81,3.52
2025-12-15T02:41:09,99.04,4905.55,0.00,127.94,0.11,0.54
2025-12-15T02:41:10,97.85,4905.27,0.00,208.37,0.05,0.32
