timestamp,cpu_idle_pct,ram_available_mb,disk_read_kbs,disk_write_kbs,net_rx_kbs,net_tx_kbs
2025-12-15T23:55:16,98.27,5220.89,0.00,0.00,0.45,0.05
2025-12-15T23:55:17,94.96,5218.38,1842.93,5.98,0.29,0.30
2025-12-15T23:55:19,95.79,5216.65,0.00,224.68,0.92,0.41
2025-12-15T23:55:20,96.57,5215.43,0.00,436.82,1.04,0.32
2025-12-15T23:55:21,94.05,5213.94,3532.02,0.00,8.68,0.35
2025-12-15T23:55:22,73.01,4922.35,19237.11,0.00,0.86,5.03
2025-12-15T23:55:23,94.38,4919.88,0.00,249.79,0.05,0.30
2025-12-15T23:55:25,94.70,4919.25,0.00,0.00,0.42,1.18
2025-12-15T23:55:26,94.81,4919.01,0.00,6.72,1.01,1.69
2025-12-15T23:55:27,91.46,4917.41,2790.23,26.96,0.47,1.15
2025-12-15T23:55:28,88.64,4912.54,0.00,5.52,0.17,0.89
2025-12-15T23:55:30,95.53,4911.80,0.00,156.86,0.05,0.29
2025-12-15T23:55:31,95.80,4911.69,0.00,0.00,0.05,0.29
2025-12-15T23:55:32,94.53,4911.69,0.00,26.67,0.05,0.29
2025-12-15T23:55:33,95.58,4912.14,0.00,0.00,0.05,0.29
2025-12-15T23:55:34,95.48,4912.20,0.00,6.83,0.32,0.79
2025-12-15T23:55:36,94.16,4912.20,0.00,86.67,0.66,1.63
2025-12-15T23:55:37,81.22,4911.47,0.00,0.00,0.24,1.05
2025-12-15T23:55:38,67.57,4911.48,0.00,6.62,0.23,0.94
2025-12-15T23:55:40,87.36,4911.48,0.00,205.74,0.42,1.08
2025-12-15T23:55:41,97.27,4911.00,0.00,110.82,0.05,0.80
2025-12-15T23:55:42,97.45,4910.52,0.00,13.34,0.20,1.08
2025-12-15T23:55:43,96.21,4911.26,0.00,0.00,0.26,9.10
2025-12-15T23:55:44,95.02,4911.76,0.00,13.51,0.18,0.56
2025-12-15T23:55:46,95.59,4910.98,0.00,0.00,0.93,1.10
2025-12-15T23:55:47,94.71,4910.07,0.00,128.38,1.17,1.57
